alpha_iou,alpha_mae,camera_count,lpips_alex_spatial,masked_mae,masked_mse,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,subject
0.9756159416094061,0.019649275445512364,14,0.32921222591711263,0.10217761499397027,0.023611201539167737,16.305097916700756,adaptive,128,1,4503.785714285715,head_foreground,0,017
0.9801991636153634,0.01661432840462242,14,0.3218780588717292,0.0978430845389587,0.02157037171676467,16.708183665615937,adaptive,128,1,4069.6428571428573,head_supported,0,017
0.9320667469808146,0.003034947024259184,14,0.4001015532716078,0.14008233031393788,0.042315135734709505,13.870381963052695,adaptive,128,1,434.14285714285717,head_unsupported,0,017
0.9432882517364686,0.018810754442321404,14,0.45490723484662804,0.10638928301306035,0.03638306010119224,14.815896953029384,adaptive,128,1,1746.5714285714287,torso_outside_head_roi,0,017
0.9734448805370426,0.021191181614995003,11,0.3147538396265848,0.0972578935666779,0.02329854813059885,16.339954024612215,adaptive,128,4,4569.363636363636,head_foreground,0,017
0.980415794124142,0.017067282545295628,11,0.30814018452736,0.0900926713297879,0.019573501943066226,17.118250214436394,adaptive,128,4,4123.909090909091,head_supported,0,017
0.9092105283663661,0.004123899683525617,11,0.3774271018894393,0.160406590028151,0.05660727919238977,12.67772439540556,adaptive,128,4,445.45454545454544,head_unsupported,0,017
0.9303350456763447,0.01973350498486649,11,0.4326218086399866,0.11275694075948149,0.04389674107870395,13.960985710445176,adaptive,128,4,1776.4545454545455,torso_outside_head_roi,0,017
0.9729942828088399,0.020267387852072716,7,0.2930224739087056,0.09555997261543406,0.02307147121991815,16.373356060860146,adaptive,128,8,4474.714285714285,head_foreground,0,017
0.9804774065085408,0.016040007450750897,7,0.28608064288951723,0.08797762216905522,0.0191694767570513,17.194757809763736,adaptive,128,8,4032.714285714286,head_supported,0,017
0.9049423473908194,0.004227380201752696,7,0.35709072733542985,0.16185070516831554,0.057630012558312384,12.55437358788583,adaptive,128,8,442.0,head_unsupported,0,017
0.9368245725562178,0.018971747319613184,7,0.4246787258882922,0.10759365478099256,0.04037978097265859,14.422583255830022,adaptive,128,8,1799.0,torso_outside_head_roi,0,017
0.934373205054487,0.026949628655399595,14,0.22249988022212924,0.09425148177465222,0.026293248416317645,15.869679612099029,adaptive,128,1,4053.214285714286,head_foreground,0,060
0.9794851611312632,0.011267883104405232,14,0.22373753472464472,0.07028421206248454,0.01141536045195476,19.58903835678674,adaptive,128,1,3685.8571428571427,head_supported,0,060
0.41112212041182294,0.015681745218379155,14,0.20989468573595055,0.34018496652249725,0.1793571997445364,7.583063714890754,adaptive,128,1,367.35714285714283,head_unsupported,0,060
0.5161602080465529,0.04427698946424893,14,0.4031735518417606,0.2001530077207804,0.06042382610925829,12.4745687038768,adaptive,128,1,992.0714285714286,torso_outside_head_roi,0,060
0.9428282379853463,0.025262785228815945,11,0.209604775590953,0.08816769266363246,0.02344130125383116,16.395692478678175,adaptive,128,4,4134.636363636364,head_foreground,0,060
0.9812800449074668,0.011468710039149631,11,0.2106869781305896,0.06690339988555262,0.010635523023319986,19.82501508602261,adaptive,128,4,3753.090909090909,head_supported,0,060
0.5112485103634293,0.013794075866991823,11,0.19821082843705753,0.30167189189492005,0.15272530297056755,8.368789063277703,adaptive,128,4,381.54545454545456,head_unsupported,0,060
0.5281525765211993,0.050022724592550236,11,0.43108643334265845,0.20222268756016157,0.06107800084247042,12.540343755122594,adaptive,128,4,1088.4545454545455,torso_outside_head_roi,0,060
0.943491559521945,0.024064906207578524,7,0.19484979547935355,0.08622463729114009,0.02262603236784596,16.582570191827465,adaptive,128,8,4043.4285714285716,head_foreground,0,060
0.9813140743680029,0.01073972016040768,7,0.19606633793239883,0.06545633606434376,0.01012408534704892,19.97586039721497,adaptive,128,8,3661.5714285714284,head_supported,0,060
0.5257710647318622,0.013325186579355172,7,0.18221267954843515,0.2907498014522677,0.14658177550545898,8.676115748156322,adaptive,128,8,381.85714285714283,head_unsupported,0,060
0.5659871344612079,0.04712765743689878,7,0.4377078811052037,0.19320813008583654,0.05530209808361181,12.84376039788558,adaptive,128,8,1062.857142857143,torso_outside_head_roi,0,060
0.9475276488068786,0.02932315572564091,14,0.32187999096536857,0.12247763133342274,0.03975615265171007,14.040087556326444,adaptive,128,1,4507.214285714285,head_foreground,0,071
0.9823898243847161,0.01478353954319443,14,0.3225272537893213,0.0968288790659831,0.024456989718730216,16.20139368799977,adaptive,128,1,3907.3571428571427,head_supported,0,071
0.6977709086513723,0.014539616049400397,14,0.3150509727657956,0.2937885556888138,0.14189262461476276,8.544447000704784,adaptive,128,1,599.8571428571429,head_unsupported,0,071
0.8479967216566531,0.027754254007179822,14,0.510213650553878,0.26234674488207654,0.12613158709003078,9.838436164227861,adaptive,128,1,1543.142857142857,torso_outside_head_roi,0,071
0.9498772146644473,0.02981704134832729,11,0.30876365798526534,0.12139414182514421,0.04019897011364325,14.002519228264042,adaptive,128,4,4581.545454545455,head_foreground,0,071
0.9835260077905001,0.015379087745466015,11,0.3111338664423784,0.09906206295793267,0.02576753248884261,15.995087488719053,adaptive,128,4,3979.5454545454545,head_supported,0,071
0.7072162898164692,0.014437953348864208,11,0.2905126477834758,0.27353561900028506,0.13776905812921766,8.650207746398005,adaptive,128,4,602.0,head_unsupported,0,071
0.8170618797523413,0.03376461353830316,11,0.5145569062110223,0.2828170563571722,0.15559908741887082,8.979808227675337,adaptive,128,4,1611.909090909091,torso_outside_head_roi,0,071
0.9513664238703138,0.02863861620426178,7,0.30563903792141234,0.1223990340815214,0.04069510136789874,13.94623007191214,adaptive,128,8,4505.714285714285,head_foreground,0,071
0.984407553265834,0.014731962100735732,7,0.3074019937976126,0.10067275971092278,0.02674911554113752,15.834816047280315,adaptive,128,8,3913.285714285714,head_supported,0,071
0.7136711343040287,0.013906653837433882,7,0.2916557753482216,0.268727956396941,0.13370544063971024,8.768862523829103,adaptive,128,8,592.4285714285714,head_unsupported,0,071
0.8121298185190808,0.03510071383789182,7,0.5116980582360415,0.28671805007717616,0.1595881177524039,8.712906748538847,adaptive,128,8,1664.142857142857,torso_outside_head_roi,0,071
0.9589451187929734,0.023591890265899047,14,0.2855752933481127,0.11496865483106922,0.027124849829755826,15.694549252594145,adaptive,128,1,4005.1428571428573,head_foreground,0,102
0.9748414857009832,0.017492552620491812,14,0.28644139848756683,0.10613153864648837,0.022205909845126964,16.609285863645944,adaptive,128,1,3786.5714285714284,head_supported,0,102
0.5969907348959345,0.006099337262899748,14,0.2505024502514156,0.27906886890741717,0.12141789555888939,9.254248772566298,adaptive,128,1,218.57142857142858,head_unsupported,0,102
0.9196709646946469,0.033235819810735326,14,0.599516775530659,0.15627022930561843,0.040177860113271416,14.074210527928889,adaptive,128,1,2357.714285714286,torso_outside_head_roi,0,102
0.959669940852315,0.02356975390152498,11,0.28219077330573433,0.11403878730968185,0.027127440064813203,15.691124672607963,adaptive,128,4,4036.5454545454545,head_foreground,0,102
0.9733639159462463,0.018004811961542477,11,0.28303792141108375,0.10633097317651061,0.022715271992488517,16.487564353075182,adaptive,128,4,3825.2727272727275,head_supported,0,102
0.6197824804510572,0.005564942680807276,11,0.2513502865400674,0.27346530384066353,0.12084614947329383,9.322771202310811,adaptive,128,4,211.27272727272728,head_unsupported,0,102
0.9060235618321212,0.03736346418207342,11,0.6003206121280835,0.16270418952691432,0.0446093604200729,13.68459819431982,adaptive,128,4,2394.2727272727275,torso_outside_head_roi,0,102
0.960964879597048,0.02276302461645433,7,0.26961511972045765,0.11344860944721079,0.027225387203175494,15.66156859176186,adaptive,128,8,3958.714285714286,head_foreground,0,102
0.9735550390859149,0.01764553346272026,7,0.2709806032088916,0.1061528624248889,0.02307269598501191,16.403039334198567,adaptive,128,8,3756.8571428571427,head_supported,0,102
0.61297269114091,0.005117490954164948,7,0.22744425121415082,0.27587291181336915,0.1240192438351942,9.252151905442902,adaptive,128,8,201.85714285714286,head_unsupported,0,102
