family,radius_mm,scale_cap_mm,oral_protrusion_psnr,oral_protrusion_mae,unsupported_psnr,head_psnr,unsupported_center_error_mm,mean_offset_mm,mouth_axis_max_p90_mm,mouth_fraction_at_cap,all_axis_max_p90_mm,all_fraction_at_cap
free,-1.0,3.0,31.459337914401225,0.021666484164238966,24.395192570927417,26.04434162086681,15.456110775712505,66.03009033203125,3.000000026077032,0.9965909090909091,3.000000026077032,0.9876567788174397
free,-1.0,6.0,32.84877652845539,0.018084268052061817,33.26707758354936,33.81192666912572,18.27781067824337,54.546287536621094,6.000000052154064,0.7284090909090909,6.000000052154064,0.5922755325502688
free,-1.0,12.0,33.460544072190764,0.016873979327918537,35.584867335407694,35.659955002266045,18.64513783424656,54.47718048095703,12.000000104308128,0.30113636363636365,12.000000104308128,0.20406131793748755
free,-1.0,30.0,33.39264098532668,0.016931729966097212,36.25307891592928,36.11764028202426,18.968555421939858,54.17292785644531,14.998458046466114,0.007954545454545454,13.169742003083229,0.0031853474019510252
hard,0.0,3.0,26.787973464454687,0.0373953461216109,3.259309114940562,5.8031004082519875,44.96509678218222,0.0,3.000000026077032,0.9875,3.000000026077032,0.9761098944853673
hard,0.0,6.0,30.160471908345862,0.024147382649539834,3.962028496900046,6.703565815928037,44.96509678218222,0.0,6.000000052154064,0.6329545454545454,6.000000052154064,0.5823213219191719
hard,0.0,12.0,31.839450239077735,0.01987445114688144,5.155929260104178,7.958865437913771,44.96509678218222,0.0,12.000000104308128,0.19886363636363635,12.000000104308128,0.1787776229345013
hard,0.0,30.0,32.24698756585724,0.01887002218965106,11.743875023468771,14.246825287105787,44.96509678218222,0.0,14.407706912606955,0.014772727272727272,12.978682667016987,0.018514831773840335
r050,50.0,3.0,31.48478574906782,0.021144329574716996,6.420131794603234,9.169561091901224,23.941068379837642,35.64997482299805,3.000000026077032,0.9920454545454546,3.000000026077032,0.9798924945251841
r050,50.0,6.0,33.01044205162885,0.018030384750571997,9.66125636588777,12.482677022323855,22.752720225589876,33.43465042114258,6.000000052154064,0.6181818181818182,6.000000052154064,0.562213816444356
r050,50.0,12.0,33.37300590694214,0.01701311832611272,14.198693230551019,17.006274421302358,22.19872313217542,32.94059371948242,12.000000104308128,0.19545454545454546,12.000000104308128,0.21102926537925543
r050,50.0,30.0,33.87474191451862,0.01646672512102465,28.8961558333212,30.787831571060508,22.354917650283117,33.23411178588867,11.898660007864237,0.005681818181818182,12.596172280609608,0.012343221182560224
