directory,radius_mm,oral_protrusion_psnr,oral_protrusion_mae,supported_psnr,unsupported_psnr,head_psnr,unsupported_geometry_mm,mean_offset_mm
hard,0.0,32.24698756585724,0.01887002218965106,23.583999625864212,11.743875023468771,14.246825287105787,44.96509678218222,0.0
r010,10.0,33.20059230367104,0.016786685268718737,30.01747764352153,14.32527448618024,16.86181475141682,39.73579044770379,9.801576614379883
r025,25.0,33.47135743242575,0.016923857834739167,33.626108309991885,19.4196329895742,21.900435097787096,32.28653473198179,21.501657485961914
r050,50.0,33.87474191451862,0.01646672512102465,35.820292841695796,28.8961558333212,30.787831571060508,22.354917650283117,33.233001708984375
r075,75.0,33.809042549783186,0.01617516570383984,36.143975079179086,33.23870990957613,34.18611316714794,18.87083447790071,38.99951934814453
r100,100.0,33.759491826430065,0.016353719300473073,36.244409566605086,35.081156775920505,35.447410284069306,17.18126169437852,43.40571212768555
r150,150.0,33.76627381866116,0.015995167168146206,36.41534740370227,36.09550071600422,36.09037982961799,16.0123600770574,48.37989807128906
r200,200.0,33.75209783240294,0.016450057811369743,36.3586576423227,35.89509950997071,35.95528679767909,17.13194682404475,50.862606048583984
free,-1.0,33.39264098532668,0.016931729966097212,36.392919992295106,36.25307891592928,36.11764028202426,18.968555421939858,54.17226791381836
