directory,radius_mm,tongue_core_psnr,tongue_core_mae,supported_psnr,unsupported_psnr,head_psnr,unsupported_geometry_mm,mean_offset_mm
hard,0.0,23.910162969191074,0.04440928674285325,24.035995394443532,11.447235670410603,14.572895637691174,48.08436484239062,0.0
r010,10.0,23.34327545364837,0.045166471795948016,26.55946288855526,13.24092584680761,16.391907528709535,42.46631701512455,9.844176292419434
r025,25.0,27.84619456514421,0.02703464460005018,31.87554211965225,17.738373029367317,20.909410361327513,32.25784558676015,22.537860870361328
r050,50.0,31.072676467322495,0.01881217768869265,34.26713897682704,28.0993858469028,30.21701634015438,20.255483858942668,36.995452880859375
r075,75.0,32.14731426025148,0.015735429390439384,34.173999779035746,33.22147570519428,33.52472489989403,16.62505996321847,45.275875091552734
r100,100.0,34.281189376328015,0.01378192776001578,35.49344634841894,35.23301709675902,35.08424225018965,15.406969919826361,51.661895751953125
r150,150.0,34.4917334534865,0.013297834897527276,35.7068067415275,37.145220710649404,36.13941690470344,15.307271412370298,58.31088638305664
r200,200.0,34.17338266400063,0.014021510008303538,35.576428223604495,38.12666593131209,36.437614765459294,15.717688334261428,60.631622314453125
free,-1.0,34.51708739310173,0.013125491467152202,35.67535199887231,38.352320711960154,36.571149573448196,14.43428851387325,63.1820182800293
