ci_high,ci_low,identity_count,mean,method,metric,n_id,n_obs,region,variant
22.782118207105853,14.893489678726443,20,18.198325185518307,adaptive,masked_psnr,8,1,background,capacity_s5_h512_20k
20.95736279396552,19.432888673928687,20,20.20629239031621,adaptive,masked_psnr,8,1,eyes,capacity_s5_h512_20k
16.23875406868159,14.568830764767993,20,15.402323556291005,adaptive,masked_psnr,8,1,flame_supported,capacity_s5_h512_20k
8.79063842721888,6.852677727810567,20,7.80922902732011,adaptive,masked_psnr,8,1,flame_unsupported,capacity_s5_h512_20k
12.465155972778469,10.582953807133048,20,11.511779621764717,adaptive,masked_psnr,8,1,foreground,capacity_s5_h512_20k
13.346653997246477,11.780046184558726,20,12.52066061043605,adaptive,masked_psnr,8,1,full_frame,capacity_s5_h512_20k
14.233400923897557,12.525990295694454,20,13.411580765524963,adaptive,masked_psnr,8,1,head_foreground,capacity_s5_h512_20k
16.749815080316285,15.116124111376593,20,15.951707038630925,adaptive,masked_psnr,8,1,head_supported,capacity_s5_h512_20k
8.545990004648893,6.380437127733447,20,7.456177908732505,adaptive,masked_psnr,8,1,head_unsupported,capacity_s5_h512_20k
20.27418581652344,18.6803584809974,20,19.402823666634983,adaptive,masked_psnr,8,1,oral,capacity_s5_h512_20k
10.045541833712209,7.920977337225297,20,8.958151947270864,adaptive,masked_psnr,8,1,torso_outside_head_roi,capacity_s5_h512_20k
22.522604656161533,14.893900410823397,20,18.198659527940663,adaptive,masked_psnr,8,4,background,capacity_s5_h512_20k
21.004698674741093,19.835858319930185,20,20.398319115026567,adaptive,masked_psnr,8,4,eyes,capacity_s5_h512_20k
16.47241805680232,15.016712769867762,20,15.74993871549508,adaptive,masked_psnr,8,4,flame_supported,capacity_s5_h512_20k
8.698406213904025,6.78460759219261,20,7.734087415631839,adaptive,masked_psnr,8,4,flame_unsupported,capacity_s5_h512_20k
12.475621023022178,10.704658634611395,20,11.583213921527623,adaptive,masked_psnr,8,4,foreground,capacity_s5_h512_20k
13.254138433450047,11.913686452245917,20,12.567408673308945,adaptive,masked_psnr,8,4,full_frame,capacity_s5_h512_20k
14.40993124643943,12.68649480999133,20,13.55982196025342,adaptive,masked_psnr,8,4,head_foreground,capacity_s5_h512_20k
17.036508390972536,15.548927389045945,20,16.31814954869177,adaptive,masked_psnr,8,4,head_supported,capacity_s5_h512_20k
8.34701176057949,6.202455816818172,20,7.227236167989879,adaptive,masked_psnr,8,4,head_unsupported,capacity_s5_h512_20k
20.37752085911984,18.596325723415116,20,19.348470977955454,adaptive,masked_psnr,8,4,oral,capacity_s5_h512_20k
9.785703307035806,7.9823405363103515,20,8.8707038427962,adaptive,masked_psnr,8,4,torso_outside_head_roi,capacity_s5_h512_20k
22.508617908825965,15.083096420512824,20,18.28517824806581,adaptive,masked_psnr,8,8,background,capacity_s5_h512_20k
20.856201118904178,19.758789079832145,20,20.290511934578845,adaptive,masked_psnr,8,8,eyes,capacity_s5_h512_20k
16.570094870279647,15.100991782946068,20,15.831857393050566,adaptive,masked_psnr,8,8,flame_supported,capacity_s5_h512_20k
8.7766128656637,6.857272421182596,20,7.818375671551361,adaptive,masked_psnr,8,8,flame_unsupported,capacity_s5_h512_20k
12.550700574883049,10.766629619420076,20,11.63492436689495,adaptive,masked_psnr,8,8,foreground,capacity_s5_h512_20k
13.364296526322024,11.96466267161247,20,12.652920632878018,adaptive,masked_psnr,8,8,full_frame,capacity_s5_h512_20k
14.440788737732909,12.741005009523258,20,13.60238484852504,adaptive,masked_psnr,8,8,head_foreground,capacity_s5_h512_20k
17.10756179096272,15.669297298257156,20,16.399673975194908,adaptive,masked_psnr,8,8,head_supported,capacity_s5_h512_20k
8.3509557008676,6.190341011636411,20,7.21966439579293,adaptive,masked_psnr,8,8,head_unsupported,capacity_s5_h512_20k
19.671633691619473,18.62250240635687,20,19.128327780334793,adaptive,masked_psnr,8,8,oral,capacity_s5_h512_20k
10.006756530177455,8.12498239580691,20,9.045096283368522,adaptive,masked_psnr,8,8,torso_outside_head_roi,capacity_s5_h512_20k
20.475130431054247,16.5160062735833,20,18.357654258948287,hard,masked_psnr,8,1,background,capacity_s5_h512_20k
21.336280321017405,20.272117821952662,20,20.79135631046876,hard,masked_psnr,8,1,eyes,capacity_s5_h512_20k
17.32388875051796,16.449612419662518,20,16.887434920621303,hard,masked_psnr,8,1,flame_supported,capacity_s5_h512_20k
5.600464638573906,3.3870569515614566,20,4.412541302604596,hard,masked_psnr,8,1,flame_unsupported,capacity_s5_h512_20k
10.292529249933416,8.207948415550712,20,9.19819989623046,hard,masked_psnr,8,1,foreground,capacity_s5_h512_20k
12.098625643447447,10.293371937790827,20,11.155674989916559,hard,masked_psnr,8,1,full_frame,capacity_s5_h512_20k
14.553753923417483,12.547816339619896,20,13.532538285509052,hard,masked_psnr,8,1,head_foreground,capacity_s5_h512_20k
18.56840560618787,17.774305758553357,20,18.167208329206836,hard,masked_psnr,8,1,head_supported,capacity_s5_h512_20k
6.724856052085707,4.688160448905484,20,5.6705703326936305,hard,masked_psnr,8,1,head_unsupported,capacity_s5_h512_20k
21.188247442591397,19.55959596385813,20,20.27428062585212,hard,masked_psnr,8,1,oral,capacity_s5_h512_20k
6.425064944567167,4.11140397166137,20,5.183442050083647,hard,masked_psnr,8,1,torso_outside_head_roi,capacity_s5_h512_20k
20.416708712429816,16.489548746079357,20,18.29809754412606,hard,masked_psnr,8,4,background,capacity_s5_h512_20k
21.133162981318787,20.180583721019364,20,20.63312840999635,hard,masked_psnr,8,4,eyes,capacity_s5_h512_20k
17.767393611982936,16.869598521862205,20,17.328718414660916,hard,masked_psnr,8,4,flame_supported,capacity_s5_h512_20k
5.620354572943948,3.3853948521193478,20,4.423579649141856,hard,masked_psnr,8,4,flame_unsupported,capacity_s5_h512_20k
10.389874764302055,8.290182867784406,20,9.282466320073913,hard,masked_psnr,8,4,foreground,capacity_s5_h512_20k
12.158279166540966,10.31338382575521,20,11.204432434537997,hard,masked_psnr,8,4,full_frame,capacity_s5_h512_20k
14.76369299668315,12.735194683310775,20,13.73006210906793,hard,masked_psnr,8,4,head_foreground,capacity_s5_h512_20k
19.213911862583263,18.36506753073167,20,18.7972849754877,hard,masked_psnr,8,4,head_supported,capacity_s5_h512_20k
6.713765535326283,4.653255990232696,20,5.646606657659701,hard,masked_psnr,8,4,head_unsupported,capacity_s5_h512_20k
21.495587592570967,19.62646148698008,20,20.42379697635073,hard,masked_psnr,8,4,oral,capacity_s5_h512_20k
6.469167770425943,4.1285380260075675,20,5.218383499687374,hard,masked_psnr,8,4,torso_outside_head_roi,capacity_s5_h512_20k
20.109116086195808,16.434232688233035,20,18.171957667435485,hard,masked_psnr,8,8,background,capacity_s5_h512_20k
20.92890624669839,19.953887233799172,20,20.417455338070518,hard,masked_psnr,8,8,eyes,capacity_s5_h512_20k
17.924956168946842,16.99761797296989,20,17.467966086246214,hard,masked_psnr,8,8,flame_supported,capacity_s5_h512_20k
5.604755127310652,3.4049548423699627,20,4.440415796969577,hard,masked_psnr,8,8,flame_unsupported,capacity_s5_h512_20k
10.392446448923458,8.245171724128152,20,9.255293590330743,hard,masked_psnr,8,8,foreground,capacity_s5_h512_20k
12.196304387081836,10.281957165244696,20,11.204845914504384,hard,masked_psnr,8,8,full_frame,capacity_s5_h512_20k
14.851622080099226,12.815646809988792,20,13.822239395611765,hard,masked_psnr,8,8,head_foreground,capacity_s5_h512_20k
19.414413812242273,18.55691790567872,20,18.9862218217931,hard,masked_psnr,8,8,head_supported,capacity_s5_h512_20k
6.743587342655432,4.729579918972298,20,5.691681513445294,hard,masked_psnr,8,8,head_unsupported,capacity_s5_h512_20k
20.563167019192672,19.590955630072994,20,20.05336206842357,hard,masked_psnr,8,8,oral,capacity_s5_h512_20k
6.498150820215881,4.1393156060939695,20,5.252856275486569,hard,masked_psnr,8,8,torso_outside_head_roi,capacity_s5_h512_20k
21.613755174814845,14.637895697994432,20,17.586399339284647,released,masked_psnr,8,1,background,capacity_s5_h512_20k
20.863834436020237,19.23704072713813,20,20.079731721897964,released,masked_psnr,8,1,eyes,capacity_s5_h512_20k
16.019543571797158,14.551431132293784,20,15.31466871417847,released,masked_psnr,8,1,flame_supported,capacity_s5_h512_20k
8.078028366937586,6.124282762906121,20,7.095770352565767,released,masked_psnr,8,1,flame_unsupported,capacity_s5_h512_20k
11.885433665228508,10.09393215843263,20,10.979749862930738,released,masked_psnr,8,1,foreground,capacity_s5_h512_20k
12.828636866830127,11.454049135472662,20,12.1155185964864,released,masked_psnr,8,1,full_frame,capacity_s5_h512_20k
14.101880733497165,12.51776189959408,20,13.324609213277274,released,masked_psnr,8,1,head_foreground,capacity_s5_h512_20k
16.653167326276826,15.267942989349768,20,15.970381993598739,released,masked_psnr,8,1,head_supported,capacity_s5_h512_20k
8.039403586928444,6.1386380750089975,20,7.068677562791836,released,masked_psnr,8,1,head_unsupported,capacity_s5_h512_20k
20.37707594064243,18.767026184316915,20,19.50187050004786,released,masked_psnr,8,1,oral,capacity_s5_h512_20k
8.95465542511731,6.968194043200121,20,7.941770385573145,released,masked_psnr,8,1,torso_outside_head_roi,capacity_s5_h512_20k
21.896353817332773,14.688717773232568,20,17.72992631479856,released,masked_psnr,8,4,background,capacity_s5_h512_20k
20.783571019380027,19.33000603717201,20,20.06243527590833,released,masked_psnr,8,4,eyes,capacity_s5_h512_20k
16.30710796672274,14.950911215790056,20,15.633864194699964,released,masked_psnr,8,4,flame_supported,capacity_s5_h512_20k
8.211228443033544,6.264354764116459,20,7.235936945069463,released,masked_psnr,8,4,flame_unsupported,capacity_s5_h512_20k
12.056752571460384,10.365693622405203,20,11.170940661751818,released,masked_psnr,8,4,foreground,capacity_s5_h512_20k
12.88554318326365,11.591197842572745,20,12.217800058557675,released,masked_psnr,8,4,full_frame,capacity_s5_h512_20k
14.312338432736844,12.674771995699881,20,13.488874210424157,released,masked_psnr,8,4,head_foreground,capacity_s5_h512_20k
17.0066646367734,15.66985546159365,20,16.33109208466528,released,masked_psnr,8,4,head_supported,capacity_s5_h512_20k
7.8188119689714295,5.955974963362031,20,6.8834475045952574,released,masked_psnr,8,4,head_unsupported,capacity_s5_h512_20k
20.505974462022984,18.625791475875012,20,19.436098039025488,released,masked_psnr,8,4,oral,capacity_s5_h512_20k
9.078796134087087,7.29015212044414,20,8.162783123542765,released,masked_psnr,8,4,torso_outside_head_roi,capacity_s5_h512_20k
21.297264145961,14.704362122512812,20,17.636003067670924,released,masked_psnr,8,8,background,capacity_s5_h512_20k
20.606740759280996,19.29762529915768,20,19.98191026869115,released,masked_psnr,8,8,eyes,capacity_s5_h512_20k
16.465272373993283,15.065617567386672,20,15.75736651918685,released,masked_psnr,8,8,flame_supported,capacity_s5_h512_20k
8.40892375150636,6.367989030146354,20,7.385403235509169,released,masked_psnr,8,8,flame_unsupported,capacity_s5_h512_20k
12.166015853564497,10.431359896385269,20,11.266096238452059,released,masked_psnr,8,8,foreground,capacity_s5_h512_20k
13.05005564019502,11.67921032500681,20,12.33943053890165,released,masked_psnr,8,8,full_frame,capacity_s5_h512_20k
14.431703525909725,12.760327634635216,20,13.589890838216315,released,masked_psnr,8,8,head_foreground,capacity_s5_h512_20k
17.105055886905287,15.7941780484632,20,16.428215614098853,released,masked_psnr,8,8,head_supported,capacity_s5_h512_20k
7.90995069757052,6.003292226474246,20,6.956681908765924,released,masked_psnr,8,8,head_unsupported,capacity_s5_h512_20k
19.74613454991975,18.664401476031518,20,19.181742668160105,released,masked_psnr,8,8,oral,capacity_s5_h512_20k
9.307759800119078,7.461695626169524,20,8.378362113439927,released,masked_psnr,8,8,torso_outside_head_roi,capacity_s5_h512_20k
18.12292233040949,14.678197661439373,20,16.186911448522892,adaptive,masked_psnr,384,1,background,capacity_s5_h512_20k
21.161312410500106,20.160720206471428,20,20.63486741280945,adaptive,masked_psnr,384,1,eyes,capacity_s5_h512_20k
18.329876936856582,17.167249439346186,20,17.769857819139983,adaptive,masked_psnr,384,1,flame_supported,capacity_s5_h512_20k
12.414328878967822,10.586770630420158,20,11.510158260979958,adaptive,masked_psnr,384,1,flame_unsupported,capacity_s5_h512_20k
15.379865949644694,14.021235196507408,20,14.69784929133895,adaptive,masked_psnr,384,1,foreground,capacity_s5_h512_20k
15.391494697340445,14.204738821329379,20,14.7930956541775,adaptive,masked_psnr,384,1,full_frame,capacity_s5_h512_20k
