ci_high,ci_low,identity_count,mean,mean_offset_mm,method,metric,n_id,n_obs,region,release_radius_mm,variant
20.580942118838504,16.601906157626793,20,18.473891431295122,0.0,hard,masked_psnr,8,1,background,0.0,primary_s5_h128_20k
21.077144707905568,19.982706375770825,20,20.523824862319305,0.0,hard,masked_psnr,8,1,eyes,0.0,primary_s5_h128_20k
17.38568793102055,16.506123027522857,20,16.945980319846633,0.0,hard,masked_psnr,8,1,flame_supported,0.0,primary_s5_h128_20k
5.565261863797716,3.385053465350556,20,4.414549420794462,0.0,hard,masked_psnr,8,1,flame_unsupported,0.0,primary_s5_h128_20k
10.34536099706929,8.255317553235129,20,9.227435718876254,0.0,hard,masked_psnr,8,1,foreground,0.0,primary_s5_h128_20k
12.18469463028061,10.326005147586708,20,11.209317547749432,0.0,hard,masked_psnr,8,1,full_frame,0.0,primary_s5_h128_20k
14.579413600440732,12.581078597389723,20,13.563895225279206,0.0,hard,masked_psnr,8,1,head_foreground,0.0,primary_s5_h128_20k
18.57169239272141,17.806138424240913,20,18.183418123091876,0.0,hard,masked_psnr,8,1,head_supported,0.0,primary_s5_h128_20k
6.729375320475364,4.699820131778997,20,5.682162233224718,0.0,hard,masked_psnr,8,1,head_unsupported,0.0,primary_s5_h128_20k
21.143257057275843,19.546610666506588,20,20.263056601438667,0.0,hard,masked_psnr,8,1,oral,0.0,primary_s5_h128_20k
6.472719868040894,4.108773176363096,20,5.224159151791164,0.0,hard,masked_psnr,8,1,torso_outside_head_roi,0.0,primary_s5_h128_20k
20.46247788049543,16.530134850348862,20,18.391946066830762,0.0,hard,masked_psnr,8,4,background,0.0,primary_s5_h128_20k
20.953458866231845,19.946806244241255,20,20.426794835850963,0.0,hard,masked_psnr,8,4,eyes,0.0,primary_s5_h128_20k
17.846935020930477,16.935864824330096,20,17.397876712372245,0.0,hard,masked_psnr,8,4,flame_supported,0.0,primary_s5_h128_20k
5.543056428344619,3.395095322187541,20,4.42432887494322,0.0,hard,masked_psnr,8,4,flame_unsupported,0.0,primary_s5_h128_20k
10.452030170119754,8.315856014936479,20,9.307488228302407,0.0,hard,masked_psnr,8,4,foreground,0.0,primary_s5_h128_20k
12.214305674894117,10.360226812366854,20,11.244857657878395,0.0,hard,masked_psnr,8,4,full_frame,0.0,primary_s5_h128_20k
14.808142233378849,12.739714875237553,20,13.762673268841866,0.0,hard,masked_psnr,8,4,head_foreground,0.0,primary_s5_h128_20k
19.251049436971563,18.418321798250965,20,18.835740081885575,0.0,hard,masked_psnr,8,4,head_supported,0.0,primary_s5_h128_20k
6.696007360883989,4.6832664904120085,20,5.655086243452113,0.0,hard,masked_psnr,8,4,head_unsupported,0.0,primary_s5_h128_20k
21.501335678876433,19.627846994823425,20,20.422871489768117,0.0,hard,masked_psnr,8,4,oral,0.0,primary_s5_h128_20k
6.545267157266842,4.143016491961355,20,5.257085883382799,0.0,hard,masked_psnr,8,4,torso_outside_head_roi,0.0,primary_s5_h128_20k
20.266049561756837,16.57112903506564,20,18.278903505464825,0.0,hard,masked_psnr,8,8,background,0.0,primary_s5_h128_20k
20.72498684455166,19.718209179084628,20,20.205472546662683,0.0,hard,masked_psnr,8,8,eyes,0.0,primary_s5_h128_20k
18.02514305371285,17.059890176606693,20,17.55322106543229,0.0,hard,masked_psnr,8,8,flame_supported,0.0,primary_s5_h128_20k
5.648989028455829,3.395352588307323,20,4.440906727154957,0.0,hard,masked_psnr,8,8,flame_unsupported,0.0,primary_s5_h128_20k
10.430528629337527,8.258395378151373,20,9.282131700950686,0.0,hard,masked_psnr,8,8,foreground,0.0,primary_s5_h128_20k
12.267906173996439,10.280026854464158,20,11.25063628175227,0.0,hard,masked_psnr,8,8,full_frame,0.0,primary_s5_h128_20k
14.914937251256648,12.85063212139865,20,13.861456505740748,0.0,hard,masked_psnr,8,8,head_foreground,0.0,primary_s5_h128_20k
19.471271265554833,18.60400458089423,20,19.040788239218603,0.0,hard,masked_psnr,8,8,head_supported,0.0,primary_s5_h128_20k
6.739780220034718,4.739629422388685,20,5.700078380515755,0.0,hard,masked_psnr,8,8,head_unsupported,0.0,primary_s5_h128_20k
20.583177342203825,19.59688385061275,20,20.058126799836558,0.0,hard,masked_psnr,8,8,oral,0.0,primary_s5_h128_20k
6.662113417682807,4.161704480204517,20,5.295347317670114,0.0,hard,masked_psnr,8,8,torso_outside_head_roi,0.0,primary_s5_h128_20k
20.24812021627035,16.551316673759118,20,18.282135913196484,0.0,hard,masked_psnr,32,1,background,0.0,primary_s5_h128_20k
21.316502119135063,20.312684667565,20,20.812241936246746,0.0,hard,masked_psnr,32,1,eyes,0.0,primary_s5_h128_20k
17.501205267547412,16.55306083441185,20,17.021866792119773,0.0,hard,masked_psnr,32,1,flame_supported,0.0,primary_s5_h128_20k
5.5928388222645395,3.405080696049849,20,4.429261712840869,0.0,hard,masked_psnr,32,1,flame_unsupported,0.0,primary_s5_h128_20k
10.425090332478415,8.27179239395303,20,9.271821541004892,0.0,hard,masked_psnr,32,1,foreground,0.0,primary_s5_h128_20k
12.301052310608261,10.304622540415581,20,11.26150500437303,0.0,hard,masked_psnr,32,1,full_frame,0.0,primary_s5_h128_20k
14.646381226822363,12.601232887067376,20,13.61432249075143,0.0,hard,masked_psnr,32,1,head_foreground,0.0,primary_s5_h128_20k
