change_in_released_advantage,ci_high,ci_low,control_variant,identity_count,metric,n_id,n_obs,reference_variant,region
-0.30929586656287283,-0.10781713985108946,-0.5197543078301167,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,full_frame
0.8672634697940905,1.2081294370772147,0.4940273973424927,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,head_foreground
1.922212369209614,2.3461476122854803,1.4623903828446938,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,head_supported
0.3675852422454796,0.7441245536942185,0.019703277818907964,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,head_unsupported
0.32211533453823477,1.0076378033474254,-0.43185876750360885,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,oral
-1.5162719524557466,-1.1053482311612535,-1.9406206795774374,covariance_s3_h128_20k,20,masked_psnr,384,1,primary_s5_h128_20k,torso_outside_head_roi
-2.8724694743094603,-1.8068033136786856,-4.462206058433516,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,background
0.761509887116101,1.1500753457636823,0.3781849953122912,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,eyes
2.399501671875791,2.8189050968964504,1.9668994122787533,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,flame_supported
-1.0975958367094538,-0.6687316474033924,-1.5216765715268077,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,flame_unsupported
-0.44404997320029516,-0.13197985008372023,-0.746836416024036,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,foreground
-0.2264956013249257,-0.014541949488280205,-0.4548103994439699,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,full_frame
0.8703309265284744,1.2537266633844304,0.4546962540933018,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,head_foreground
2.211536454496764,2.647266403664379,1.7438847811321168,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,head_supported
0.5057619075347919,0.9535740897553545,0.10474820185662562,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,head_unsupported
0.14961988929875555,0.7690532939096446,-0.5007634587348938,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,oral
-1.391621311857995,-1.009053235405145,-1.7790977100153478,covariance_s3_h128_20k,20,masked_psnr,384,4,primary_s5_h128_20k,torso_outside_head_roi
-2.8139895631258987,-1.8478580670899583,-4.253469921021961,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,background
0.781491536172034,1.181533569077611,0.3878245846469742,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,eyes
2.4562906367349213,2.9105088317592296,2.0062031385521717,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,flame_supported
-1.0915814031366255,-0.6923319537170494,-1.5033906922638296,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,flame_unsupported
-0.4430666100494024,-0.1403221112034187,-0.7409655921211398,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,foreground
-0.1886318954206622,0.030265393077111714,-0.42640482555613635,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,full_frame
0.9170861152970071,1.2982398339112333,0.5025472272915259,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,head_foreground
2.2438760725038014,2.71481312588782,1.750654873627615,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,head_supported
0.5190432962987362,0.9301321201856837,0.1363569499634466,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,head_unsupported
0.02870230246346468,0.6235608526906462,-0.5949953054293704,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,oral
-1.3885204397026236,-1.0058629488565223,-1.7740189198212561,covariance_s3_h128_20k,20,masked_psnr,384,8,primary_s5_h128_20k,torso_outside_head_roi
0.10231763283653406,0.44614885761275774,-0.20031167793123553,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,background
0.26908155482724777,0.6116493445596473,-0.04035534501570437,capacity_s5_h64_20k,20,masked_psnr,8,1,primary_s5_h128_20k,eyes
