camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
14,0.2904504862698642,0.10632886824669774,13.28845695731403,adaptive,128,1,11264.0,full_frame,0,preregistered_regions,0.49419637450150083,017,primary_s5_h128_20k
14,0.3670444285755283,0.10386505287600227,15.761112653123519,adaptive,128,1,6250.357142857143,foreground,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.3490247077467511,0.0945201278973788,17.003857726654932,adaptive,128,1,4596.5,flame_supported,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.4131833689538569,0.1280627296067786,13.67403470622103,adaptive,128,1,1653.857142857143,flame_unsupported,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.3022070894475487,0.08342273360125661,19.19374835075634,adaptive,128,1,257.92857142857144,oral,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.17057218106194322,0.07371965388137869,20.584620650807572,adaptive,128,1,87.21428571428571,eyes,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.1947888515986082,0.10789718344063857,11.510701596374814,adaptive,128,1,5013.642857142857,background,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.2821108900811061,0.10133108554136,13.432830261281623,adaptive,128,4,11264.0,full_frame,0,preregistered_regions,0.4973122369159352,017,primary_s5_h128_20k
11,0.3511038288362135,0.10128771790239566,15.505938532083876,adaptive,128,4,6345.818181818182,foreground,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.33372082095431366,0.08687219239508129,17.43114636744159,adaptive,128,4,4656.272727272727,flame_supported,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.39343814542913136,0.14139250230773473,12.653297120504796,adaptive,128,4,1689.5454545454545,flame_unsupported,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.265960440477245,0.08648099398316234,18.715401049938013,adaptive,128,4,254.45454545454547,oral,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.1684857244746911,0.07124311933460405,20.798825816118235,adaptive,128,4,86.45454545454545,eyes,0,preregistered_regions,,017,primary_s5_h128_20k
11,0.19149431187225507,0.10056182219949115,11.78175624613142,adaptive,128,4,4918.181818181818,background,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.2635784087243018,0.10036810032733076,13.336565090339548,adaptive,128,8,11264.0,full_frame,0,preregistered_regions,0.5057702745710101,017,primary_s5_h128_20k
7,0.33458548842429814,0.09868499280365452,15.682420221913974,adaptive,128,8,6273.714285714285,foreground,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.31508681092804086,0.08513168632079574,17.50176948276704,adaptive,128,8,4579.428571428572,flame_supported,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.3808742819693941,0.13583249267432232,12.948442084288791,adaptive,128,8,1694.2857142857142,flame_unsupported,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.2613331901162298,0.08643175609156238,18.68735440099061,adaptive,128,8,249.85714285714286,oral,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.16074388521115196,0.07492719820002858,20.28446885703291,adaptive,128,8,84.71428571428571,eyes,0,preregistered_regions,,017,primary_s5_h128_20k
7,0.17367352735163502,0.10171953522604889,11.58363311908953,adaptive,128,8,4990.285714285715,background,0,preregistered_regions,,017,primary_s5_h128_20k
14,0.2324676544635327,0.07325949606957373,16.382699664141864,adaptive,128,1,11264.0,full_frame,0,preregistered_regions,0.6276638720716748,060,primary_s5_h128_20k
14,0.2611438717450993,0.11156959679429798,15.117892601561143,adaptive,128,1,5045.285714285715,foreground,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.24130419036907044,0.0768409595720299,18.85462610251809,adaptive,128,1,4009.0,flame_supported,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.3217060798495815,0.28177717940356856,9.410376439812582,adaptive,128,1,1036.2857142857142,flame_unsupported,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.19192344278197013,0.07898459297873243,19.064603373931764,adaptive,128,1,129.85714285714286,oral,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.18622153487760737,0.05866686704090289,22.542984278943205,adaptive,128,1,85.78571428571429,eyes,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.20228349641232943,0.038101972561371024,18.48768084357109,adaptive,128,1,6218.714285714285,background,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.2311167342603699,0.0732734006298475,16.418413372613124,adaptive,128,4,11264.0,full_frame,0,preregistered_regions,0.619874195619063,060,primary_s5_h128_20k
11,0.25962431680872805,0.10796742347569264,15.43104100996081,adaptive,128,4,5223.090909090909,foreground,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.23269864151349412,0.07429852140048665,18.989240780783405,adaptive,128,4,4103.545454545455,flame_supported,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.33954888882978707,0.2616061174205754,10.01098842430837,adaptive,128,4,1119.5454545454545,flame_unsupported,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.17287087166022036,0.08087767439942373,18.80603476071904,adaptive,128,4,128.9090909090909,oral,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.17772038530204518,0.060684089541515586,22.180683582699146,adaptive,128,4,86.36363636363636,eyes,0,preregistered_regions,,060,primary_s5_h128_20k
11,0.19900756549992737,0.04007355077823241,17.914087445288498,adaptive,128,4,6040.909090909091,background,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.2204820335685433,0.07213970180197712,16.537488723880724,adaptive,128,8,11264.0,full_frame,0,preregistered_regions,0.6249205555234637,060,primary_s5_h128_20k
7,0.24938407361868783,0.10502368167610757,15.634759607006147,adaptive,128,8,5106.285714285715,foreground,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.21897870083834,0.0729547743837866,19.114760206274077,adaptive,128,8,3994.714285714286,flame_supported,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.34178808509338393,0.25295548098979564,10.273903366035952,adaptive,128,8,1111.5714285714287,flame_unsupported,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.16970771407963886,0.08247055578911798,18.700627617135805,adaptive,128,8,128.42857142857142,oral,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.16865750595144052,0.061491698376586565,21.99772279208216,adaptive,128,8,86.14285714285714,eyes,0,preregistered_regions,,060,primary_s5_h128_20k
7,0.18961403554494713,0.041996979640086994,17.826145709030964,adaptive,128,8,6157.714285714285,background,0,preregistered_regions,,060,primary_s5_h128_20k
14,0.2931071643705492,0.12707027057548623,12.319932543955515,adaptive,128,1,11264.0,full_frame,0,preregistered_regions,0.5260220319032669,071,primary_s5_h128_20k
14,0.3724305790808754,0.1585844270953888,12.272268886942854,adaptive,128,1,6050.357142857143,foreground,0,preregistered_regions,,071,primary_s5_h128_20k
14,0.350681178982666,0.11171082704890589,15.153191568180116,adaptive,128,1,4315.0,flame_supported,0,preregistered_regions,,071,primary_s5_h128_20k
14,0.4216484747873877,0.28033930567034016,8.8190835453981,adaptive,128,1,1735.357142857143,flame_unsupported,0,preregistered_regions,,071,primary_s5_h128_20k
14,0.3064426194382443,0.09943048279267074,17.6523678318045,adaptive,128,1,257.07142857142856,oral,0,preregistered_regions,,071,primary_s5_h128_20k
