advantage_over_reference_mean,ci_high,ci_low,condition,identity_count,metric,n_id,n_obs,reference,region,release_radius_mm
0.1650785492254978,2.573984513145087,-1.5239638071853256,adaptive_r30,20,masked_psnr,8,1,hard,background,30.0
-0.44485482018846606,-0.19933519479823206,-0.6805833281568574,adaptive_r30,20,masked_psnr,8,1,hard,eyes,30.0
-0.9782698973368072,-0.49596432251352385,-1.5787024341579183,adaptive_r30,20,masked_psnr,8,1,hard,flame_supported,30.0
0.7374825582678677,1.0018528336103016,0.43021056342663283,adaptive_r30,20,masked_psnr,8,1,hard,flame_unsupported,30.0
0.3912616374354362,0.7306893251481268,-0.060615638588207246,adaptive_r30,20,masked_psnr,8,1,hard,foreground,30.0
0.15194445326365136,0.6042581852121958,-0.3849288187011521,adaptive_r30,20,masked_psnr,8,1,hard,full_frame,30.0
-0.2699708105286701,0.14184417836758928,-0.7233754000881302,adaptive_r30,20,masked_psnr,8,1,hard,head_foreground,30.0
-1.2145123030787268,-0.7882205519606591,-1.6807695224127392,adaptive_r30,20,masked_psnr,8,1,hard,head_supported,30.0
0.4106810033138014,0.848558377154765,0.006586468826810452,adaptive_r30,20,masked_psnr,8,1,hard,head_unsupported,30.0
-0.05582479419379567,0.12583252269004344,-0.24635870379797506,adaptive_r30,20,masked_psnr,8,1,hard,oral,30.0
0.4961868841740461,0.9481794551048054,-0.06687920139950468,adaptive_r30,20,masked_psnr,8,1,hard,torso_outside_head_roi,30.0
0.7076283886114771,3.1146333513410065,-1.0528584984480416,adaptive_r30,20,masked_psnr,8,4,hard,background,30.0
-0.40356436307033655,-0.1099721626211942,-0.691364771369889,adaptive_r30,20,masked_psnr,8,4,hard,eyes,30.0
-1.0184801140106559,-0.7038650271336607,-1.3605284874836423,adaptive_r30,20,masked_psnr,8,4,hard,flame_supported,30.0
0.8603160865150363,1.0581249320874435,0.6730773191111062,adaptive_r30,20,masked_psnr,8,4,hard,flame_unsupported,30.0
0.5167675030839273,0.742606647948408,0.27250148040792427,adaptive_r30,20,masked_psnr,8,4,hard,foreground,30.0
0.2724428727725407,0.6086056845146697,-0.12382752492801441,adaptive_r30,20,masked_psnr,8,4,hard,full_frame,30.0
-0.22099626213650475,0.18741470521030376,-0.6063046065826209,adaptive_r30,20,masked_psnr,8,4,hard,head_foreground,30.0
-1.3879564223527059,-1.018199577932242,-1.766647234623566,adaptive_r30,20,masked_psnr,8,4,hard,head_supported,30.0
0.42900838160460586,0.9098289925763937,0.008211929081816038,adaptive_r30,20,masked_psnr,8,4,hard,head_unsupported,30.0
-0.32718612361122795,-0.1473196538605003,-0.528023553240051,adaptive_r30,20,masked_psnr,8,4,hard,oral,30.0
0.6854715577181656,0.9426450749970561,0.4087868498454507,adaptive_r30,20,masked_psnr,8,4,hard,torso_outside_head_roi,30.0
0.5414318235028459,2.6136796382965892,-0.9539719651765073,adaptive_r30,20,masked_psnr,8,8,hard,background,30.0
-0.31168711963492424,-0.04796086726849747,-0.5657156847659977,adaptive_r30,20,masked_psnr,8,8,hard,eyes,30.0
-0.9759153998803735,-0.6026350081180611,-1.3904727236780794,adaptive_r30,20,masked_psnr,8,8,hard,flame_supported,30.0
0.8985186179108446,1.101923262850721,0.7098172813237458,adaptive_r30,20,masked_psnr,8,8,hard,flame_unsupported,30.0
0.5560256752382775,0.7922504804759622,0.2922420437587516,adaptive_r30,20,masked_psnr,8,8,hard,foreground,30.0
0.30988949067887855,0.6651579506640919,-0.09464063322058928,adaptive_r30,20,masked_psnr,8,8,hard,full_frame,30.0
-0.19919105778399615,0.19510999867305126,-0.5765083946776105,adaptive_r30,20,masked_psnr,8,8,hard,head_foreground,30.0
-1.3865922553434713,-1.0349023854134367,-1.7498757088425907,adaptive_r30,20,masked_psnr,8,8,hard,head_supported,30.0
0.4629382956851421,0.8917323410645793,0.07208863390348991,adaptive_r30,20,masked_psnr,8,8,hard,head_unsupported,30.0
-0.3426401903052401,-0.1575107160746985,-0.5461684690605028,adaptive_r30,20,masked_psnr,8,8,hard,oral,30.0
0.7159527924625682,1.0016604054927598,0.4076598437821868,adaptive_r30,20,masked_psnr,8,8,hard,torso_outside_head_roi,30.0
-0.01152690755549859,0.9152672202384665,-0.7478412066505487,adaptive_r30,20,masked_psnr,384,1,hard,background,30.0
0.7895416494061219,1.0865484639008975,0.4878224267215216,adaptive_r30,20,masked_psnr,384,1,hard,eyes,30.0
0.5070000396975234,0.7699542894665371,0.2200775848486171,adaptive_r30,20,masked_psnr,384,1,hard,flame_supported,30.0
1.6113910267299907,1.923406160170416,1.2790326763328792,adaptive_r30,20,masked_psnr,384,1,hard,flame_unsupported,30.0
