advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,variant
-0.9876989373252419,-0.7234452861670432,-1.2896763729742726,released,0.05,20,masked_psnr,8,4,oral,capacity_s5_h512_20k
3.6523203431088263,4.671741655620018,2.576336466829436,adaptive,0.95,20,masked_psnr,8,4,torso_outside_head_roi,capacity_s5_h512_20k
2.9443996238553907,3.835108486310766,1.9974097088913656,released,0.95,20,masked_psnr,8,4,torso_outside_head_roi,capacity_s5_h512_20k
0.11322058063032223,3.1381317094828023,-2.323753378510905,adaptive,0.55,20,masked_psnr,8,8,background,capacity_s5_h512_20k
-0.5359545997645621,1.7931719495987892,-2.486092150267365,released,0.35,20,masked_psnr,8,8,background,capacity_s5_h512_20k
-0.1269434034916726,0.18454710453868844,-0.47631323363107597,adaptive,0.5,20,masked_psnr,8,8,eyes,capacity_s5_h512_20k
-0.4355450693793685,0.02825629840731481,-0.9570205990872825,released,0.55,20,masked_psnr,8,8,eyes,capacity_s5_h512_20k
-1.6361086931956517,-0.9132050900317723,-2.375586416149687,adaptive,0.15,20,masked_psnr,8,8,flame_supported,capacity_s5_h512_20k
-1.7105995670593699,-1.0752080230170988,-2.3897389994515765,released,0.15,20,masked_psnr,8,8,flame_supported,capacity_s5_h512_20k
3.3779598745817827,4.2316087370837865,2.5542486516635274,adaptive,0.95,20,masked_psnr,8,8,flame_unsupported,capacity_s5_h512_20k
2.94498743853959,3.6601356688301796,2.2648668227074045,released,0.95,20,masked_psnr,8,8,flame_unsupported,capacity_s5_h512_20k
2.379630776564205,3.159237323514113,1.5286753467724405,adaptive,0.95,20,masked_psnr,8,8,foreground,capacity_s5_h512_20k
2.010802648121312,2.698972155144703,1.2866235307700704,released,0.95,20,masked_psnr,8,8,foreground,capacity_s5_h512_20k
1.4480747183736355,2.379697996272912,0.4213521597678987,adaptive,0.8,20,masked_psnr,8,8,full_frame,capacity_s5_h512_20k
1.1345846243972668,1.9718741606515011,0.18140532634399525,released,0.8,20,masked_psnr,8,8,full_frame,capacity_s5_h512_20k
-0.21985454708672636,0.32232582738854343,-0.7830952422996735,adaptive,0.45,20,masked_psnr,8,8,head_foreground,capacity_s5_h512_20k
-0.2323485573954537,0.2977108888042729,-0.8162980896369689,released,0.55,20,masked_psnr,8,8,head_foreground,capacity_s5_h512_20k
-2.5865478465982,-1.924677034274013,-3.3511971763116586,adaptive,0.0,20,masked_psnr,8,8,head_supported,capacity_s5_h512_20k
-2.558006207694252,-1.9735070483973072,-3.1890582034850707,released,0.0,20,masked_psnr,8,8,head_supported,capacity_s5_h512_20k
1.5279828823476342,2.657972388723948,0.643392696891886,adaptive,0.8,20,masked_psnr,8,8,head_unsupported,capacity_s5_h512_20k
1.2650003953206297,2.0076892073319534,0.5649627483100591,released,0.8,20,masked_psnr,8,8,head_unsupported,capacity_s5_h512_20k
-0.9250342880887764,-0.7077316174033895,-1.1429772142692438,adaptive,0.0,20,masked_psnr,8,8,oral,capacity_s5_h512_20k
-0.8716194002634623,-0.5915269564884827,-1.1914277200246408,released,0.1,20,masked_psnr,8,8,oral,capacity_s5_h512_20k
3.7922400078819543,4.835553193974621,2.6933721711744436,adaptive,0.95,20,masked_psnr,8,8,torso_outside_head_roi,capacity_s5_h512_20k
3.1255058379533573,4.029302100778958,2.184586959730518,released,0.95,20,masked_psnr,8,8,torso_outside_head_roi,capacity_s5_h512_20k
