ci_high,ci_low,condition,identity_count,mean_displacement_fraction,metric,n_id,n_obs,positive_means_better_quality_at_matched_linear_displacement,region,release_radius_mm,utility_above_hard_released_chord
1.6205130919319686,-0.597226595011593,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,background,30.0,0.36547863455632046
-0.09654804099374503,-0.4869090324261256,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,eyes,30.0,-0.30060974621645825
0.010214810161670649,-0.7930553952225651,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,flame_supported,30.0,-0.3698500469341307
-0.16589745349735247,-0.378767173971968,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,flame_unsupported,30.0,-0.27163049362452557
-0.11476044720581889,-0.4487762964599755,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,foreground,30.0,-0.26807042060648223
-0.014338250954345218,-0.4075899702130743,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,full_frame,30.0,-0.19057053826075593
0.019056311943540728,-0.5363813416768289,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,head_foreground,30.0,-0.24952263324776788
-0.048542939332671196,-0.7756101023601961,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,head_supported,30.0,-0.3984158474647609
0.161105590598091,-0.55179453801008,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,head_unsupported,30.0,-0.19138559492207627
0.24885739875135302,-0.05139765734926133,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,oral,30.0,0.10337525740518175
-0.280286622348291,-0.7002747489259735,adaptive_r30,20,0.3930599934450275,masked_psnr,8,1,True,torso_outside_head_roi,30.0,-0.4769584464818111
2.2088493166121954,-0.19990401555835896,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,background,30.0,0.8365075991653029
0.05585416243458012,-0.46039475700110966,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,eyes,30.0,-0.20342000400754526
-0.08421680734827672,-0.6496105494351564,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,flame_supported,30.0,-0.3648353387083724
-0.08945129151552794,-0.36676210493262706,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,flame_unsupported,30.0,-0.23701760305185732
-0.10278353128875035,-0.3306161791706142,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,foreground,30.0,-0.2227396580364258
-0.020951078255265806,-0.2717567624698643,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,full_frame,30.0,-0.1448129931017766
0.037923377796061884,-0.4580946354138719,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,head_foreground,30.0,-0.2126969481799324
-0.1528856182876587,-0.7596717024067683,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,head_supported,30.0,-0.459077707717487
0.16050871852467097,-0.5387945744578769,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,head_unsupported,30.0,-0.18092826562293854
0.13801504280602866,-0.27743369082314495,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,oral,30.0,-0.06817702081761663
-0.2959932763483861,-0.5599680257234377,adaptive_r30,20,0.39390022335708524,masked_psnr,8,4,True,torso_outside_head_roi,30.0,-0.41958529735822603
1.7779898792687736,-0.15793227841714588,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,background,30.0,0.6631210490142103
0.04090486036357793,-0.388530053830241,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,eyes,30.0,-0.1781267051152849
-0.0012072938114335648,-0.6408806342151891,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,flame_supported,30.0,-0.3148056230934026
-0.10282923589847238,-0.3540635251846938,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,flame_unsupported,30.0,-0.23465362767689507
-0.10307038479447662,-0.3218529556909365,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,foreground,30.0,-0.2173135421451204
-0.014217231970102866,-0.25202885366846756,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,full_frame,30.0,-0.13278422837965217
0.052799582226789585,-0.41739500859998896,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,head_foreground,30.0,-0.17390735315931574
-0.11586029532079077,-0.7200920572492443,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,head_supported,30.0,-0.4159386827565738
0.18785617755109157,-0.47777724766243984,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,head_unsupported,30.0,-0.13253629103804074
0.06415822455489481,-0.29514767596160496,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,oral,30.0,-0.11968250329752941
-0.3169305224359514,-0.5973022212900656,adaptive_r30,20,0.3900710891203474,masked_psnr,8,8,True,torso_outside_head_roi,30.0,-0.4518780979790461
1.341254380859459,-0.23703533835870708,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,background,30.0,0.43903951655571494
1.0798129499598177,0.5574182986820242,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,eyes,30.0,0.8207138117349387
0.718726700580467,0.2677780990640706,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,flame_supported,30.0,0.49410681441640214
0.3057398504348504,-0.12583556370190885,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,flame_unsupported,30.0,0.08765435807210815
0.49173542171227885,0.1072880586958222,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,foreground,30.0,0.29285169792044125
0.5873447581773034,0.2428119103092218,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,full_frame,30.0,0.40688691824105483
1.508777730611179,0.6438767402316812,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,head_foreground,30.0,1.0843102113690335
0.4415004275469647,0.025569689364929604,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,head_supported,30.0,0.23285286342938213
1.865851121674021,0.5476550259517537,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,head_unsupported,30.0,1.219275957043729
0.34420047268194137,-0.030824681197527515,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,oral,30.0,0.15685880815065917
0.044241714542710926,-0.4052822655924383,adaptive_r30,20,0.24962245730201954,masked_psnr,384,1,True,torso_outside_head_roi,30.0,-0.1998716444456494
1.1625275849023906,-0.08622887902369675,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,background,30.0,0.4809364564570687
1.181868300572477,0.6264722566746379,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,eyes,30.0,0.9074658466509012
0.6472636644625982,0.2667686792972891,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,flame_supported,30.0,0.45192405410485537
0.2602998865199442,-0.09702535523325408,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,flame_unsupported,30.0,0.07640315744031245
0.4256604522499545,0.11860495872506328,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,foreground,30.0,0.26904392169803504
0.5999685933796167,0.28892818429631517,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,full_frame,30.0,0.43838805753380344
1.379109296716531,0.602426549950512,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_foreground,30.0,0.9911653319171723
0.27827077835377456,-0.09584755675551701,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_supported,30.0,0.09800880832725908
1.6936830687592976,0.511200034486094,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_unsupported,30.0,1.1153114816041712
0.32221794500127743,-0.03678198089900298,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,oral,30.0,0.14180804785949927
0.05393520845801094,-0.3626735219669118,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,torso_outside_head_roi,30.0,-0.16508798899813598
1.0767868733899832,-0.04578750820072002,adaptive_r30,20,0.2531436453685204,masked_psnr,384,8,True,background,30.0,0.4548407226811732
1.116783926176496,0.6160181782629589,adaptive_r30,20,0.2531436453685204,masked_psnr,384,8,True,eyes,30.0,0.8691549628077994
