ci_high,ci_low,identity_count,mean,method,metric,n_id,n_obs,region,variant
21.47053823652251,14.81315189153061,20,17.607490552009203,adaptive,masked_psnr,8,1,background,full_target_density2
21.021424534268764,20.024167073581204,20,20.518402103162657,adaptive,masked_psnr,8,1,eyes,full_target_density2
16.502075810627005,15.092793862663129,20,15.795553989846496,adaptive,masked_psnr,8,1,flame_supported,full_target_density2
8.235011008254569,6.395912749142934,20,7.311879496527133,adaptive,masked_psnr,8,1,flame_unsupported,full_target_density2
12.18909168056964,10.437804764764193,20,11.292315386296957,adaptive,masked_psnr,8,1,foreground,full_target_density2
12.990798167113297,11.769171939543293,20,12.35572404843398,adaptive,masked_psnr,8,1,full_frame,full_target_density2
14.655422779719517,12.914531237585699,20,13.77840286123384,adaptive,masked_psnr,8,1,head_foreground,full_target_density2
17.189817668064524,15.82791992186118,20,16.48246641643964,adaptive,masked_psnr,8,1,head_supported,full_target_density2
8.268757708876803,6.339223559356846,20,7.305649189955195,adaptive,masked_psnr,8,1,head_unsupported,full_target_density2
20.901228025731125,19.096120182755914,20,19.90628481230764,adaptive,masked_psnr,8,1,oral,full_target_density2
9.117115435528483,7.2681115576745485,20,8.18725162091737,adaptive,masked_psnr,8,1,torso_outside_head_roi,full_target_density2
21.519246359629136,14.90122985750425,20,17.765752600785145,adaptive,masked_psnr,8,4,background,full_target_density2
20.79873661040588,19.882714750810102,20,20.33021257073121,adaptive,masked_psnr,8,4,eyes,full_target_density2
17.10970877047844,15.757593103782158,20,16.43739012273894,adaptive,masked_psnr,8,4,flame_supported,full_target_density2
8.725808697164615,6.651507255980264,20,7.667786709067549,adaptive,masked_psnr,8,4,flame_unsupported,full_target_density2
12.614374605342434,10.781162560604212,20,11.671989595511693,adaptive,masked_psnr,8,4,foreground,full_target_density2
13.375152124591184,11.991980078463351,20,12.647601838201824,adaptive,masked_psnr,8,4,full_frame,full_target_density2
14.853676717654638,13.132134889180954,20,13.981589359304982,adaptive,masked_psnr,8,4,head_foreground,full_target_density2
17.737518924135372,16.4167416150504,20,17.07702846546696,adaptive,masked_psnr,8,4,head_supported,full_target_density2
8.144225813338576,6.172562086576467,20,7.150075650669069,adaptive,masked_psnr,8,4,head_unsupported,full_target_density2
21.08234608855531,19.026218428808154,20,19.90030714823477,adaptive,masked_psnr,8,4,oral,full_target_density2
9.754388074145368,7.813409776311882,20,8.763270922093222,adaptive,masked_psnr,8,4,torso_outside_head_roi,full_target_density2
20.94732671042304,14.950175269959043,20,17.591852616712664,adaptive,masked_psnr,8,8,background,full_target_density2
20.641255835346648,19.711247843015755,20,20.17249673872653,adaptive,masked_psnr,8,8,eyes,full_target_density2
17.18698904609709,15.84169795281768,20,16.499760634880616,adaptive,masked_psnr,8,8,flame_supported,full_target_density2
8.878136588553383,6.695661885493814,20,7.764413674070598,adaptive,masked_psnr,8,8,flame_unsupported,full_target_density2
12.697501735664313,10.799776304866706,20,11.713339430028835,adaptive,masked_psnr,8,8,foreground,full_target_density2
13.454761562785329,11.972960515957698,20,12.682115767633261,adaptive,masked_psnr,8,8,full_frame,full_target_density2
14.97700888998034,13.179376452600277,20,14.057830296960706,adaptive,masked_psnr,8,8,head_foreground,full_target_density2
17.8481542372026,16.53675643626172,20,17.164237708072896,adaptive,masked_psnr,8,8,head_supported,full_target_density2
8.183342832112249,6.161923363224862,20,7.157444278637515,adaptive,masked_psnr,8,8,head_unsupported,full_target_density2
20.06137038111187,18.96272918972869,20,19.494601885228217,adaptive,masked_psnr,8,8,oral,full_target_density2
9.909545413802729,7.896731411049182,20,8.89208050993851,adaptive,masked_psnr,8,8,torso_outside_head_roi,full_target_density2
20.119852999306104,16.132529637903914,20,17.98504886694137,hard,masked_psnr,8,1,background,full_target_density2
21.127467219568803,19.95524577091784,20,20.545709215532682,hard,masked_psnr,8,1,eyes,full_target_density2
17.96650990201146,17.33774911482742,20,17.64939435493672,hard,masked_psnr,8,1,flame_supported,full_target_density2
5.7098936568153595,3.4668435068949885,20,4.505626785796218,hard,masked_psnr,8,1,flame_unsupported,full_target_density2
10.493202381053788,8.363900623758404,20,9.372474900040997,hard,masked_psnr,8,1,foreground,full_target_density2
12.197884293544687,10.384465144459128,20,11.248738230850037,hard,masked_psnr,8,1,full_frame,full_target_density2
14.885927708025452,12.891090497252556,20,13.879789063971273,hard,masked_psnr,8,1,head_foreground,full_target_density2
18.972581884497295,18.28833873264562,20,18.623839916361376,hard,masked_psnr,8,1,head_supported,full_target_density2
6.927010240477063,4.961548242528517,20,5.917312205361567,hard,masked_psnr,8,1,head_unsupported,full_target_density2
21.131361113568378,19.630741477525817,20,20.27244385733261,hard,masked_psnr,8,1,oral,full_target_density2
6.532768650869642,4.19470671721474,20,5.279323935784984,hard,masked_psnr,8,1,torso_outside_head_roi,full_target_density2
20.11736120234906,16.09861136674931,20,17.952111635997746,hard,masked_psnr,8,4,background,full_target_density2
21.07513222328164,20.034059244846436,20,20.547990861467696,hard,masked_psnr,8,4,eyes,full_target_density2
18.54967411296716,17.797675971815064,20,18.184073090139343,hard,masked_psnr,8,4,flame_supported,full_target_density2
5.728527182034175,3.463211456244937,20,4.5115691239470435,hard,masked_psnr,8,4,flame_unsupported,full_target_density2
10.588660921056295,8.43988843204725,20,9.457136213282991,hard,masked_psnr,8,4,foreground,full_target_density2
12.2697789316341,10.40384957458549,20,11.299722297445292,hard,masked_psnr,8,4,full_frame,full_target_density2
15.086384368843055,13.061725079302523,20,14.063059879799345,hard,masked_psnr,8,4,head_foreground,full_target_density2
19.712684225247013,18.87783452948853,20,19.294920621428464,hard,masked_psnr,8,4,head_supported,full_target_density2
6.916997556284784,4.910099639723292,20,5.8868941430056,hard,masked_psnr,8,4,head_unsupported,full_target_density2
21.43202041460457,19.59849011122409,20,20.36592635706968,hard,masked_psnr,8,4,oral,full_target_density2
6.610421632189196,4.220247176900277,20,5.330284527020308,hard,masked_psnr,8,4,torso_outside_head_roi,full_target_density2
19.893014483774905,16.12242694286061,20,17.90575754152072,hard,masked_psnr,8,8,background,full_target_density2
20.875919355138333,19.8190177505292,20,20.334979682530694,hard,masked_psnr,8,8,eyes,full_target_density2
18.71993212011273,17.902485692411233,20,18.30940083468611,hard,masked_psnr,8,8,flame_supported,full_target_density2
