camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
11,0.2668000986894815,0.12156641788380336,15.335302519915064,adaptive,128,4,6458.909090909091,foreground,0,ordinary,,112,primary_full_target_density1
11,0.2200392187490193,0.09117780419714175,17.635962216621056,adaptive,128,4,4705.454545454545,flame_supported,0,ordinary,,112,primary_full_target_density1
11,0.3801497213242447,0.2036756528257957,12.106509569710147,adaptive,128,4,1753.4545454545455,flame_unsupported,0,ordinary,,112,primary_full_target_density1
11,0.14539044043773153,0.09046233510256395,18.510235137999967,adaptive,128,4,314.90909090909093,oral,0,ordinary,,112,primary_full_target_density1
11,0.1520343085739912,0.06714287909717828,21.139019552235933,adaptive,128,4,84.72727272727273,eyes,0,ordinary,,112,primary_full_target_density1
11,0.1589297676709263,0.03725999082214508,18.057856894020333,adaptive,128,4,4805.090909090909,background,0,ordinary,,112,primary_full_target_density1
7,0.2102990552976534,0.08110707353203843,16.638664530952767,adaptive,128,8,11264.0,full_frame,0,ordinary,0.5561478819165911,112,primary_full_target_density1
7,0.2520888397778899,0.11587767869148072,15.699407223311086,adaptive,128,8,6404.857142857143,foreground,0,ordinary,,112,primary_full_target_density1
7,0.2020089998084349,0.08640579265408074,18.093513257685874,adaptive,128,8,4621.428571428572,flame_supported,0,ordinary,,112,primary_full_target_density1
7,0.37238280483739145,0.1923688107641554,12.505392990193025,adaptive,128,8,1783.4285714285713,flame_unsupported,0,ordinary,,112,primary_full_target_density1
7,0.1412894812227309,0.09208411265335922,18.376616963793857,adaptive,128,8,312.85714285714283,oral,0,ordinary,,112,primary_full_target_density1
7,0.1457401882461366,0.06671079123375602,21.09210285901193,adaptive,128,8,84.57142857142857,eyes,0,ordinary,,112,primary_full_target_density1
7,0.14921243311141405,0.03504366607229674,18.391422393639655,adaptive,128,8,4859.142857142857,background,0,ordinary,,112,primary_full_target_density1
14,0.3037550759005856,0.08425985631488618,15.57205679299314,adaptive,128,1,11264.0,full_frame,0,ordinary,0.5410305304186684,123,primary_full_target_density1
14,0.36671250796357463,0.10254918236890624,15.980929112489763,adaptive,128,1,6401.071428571428,foreground,0,ordinary,,123,primary_full_target_density1
14,0.3592549202473094,0.07912391930282069,18.919302502064074,adaptive,128,1,4915.857142857143,flame_supported,0,ordinary,,123,primary_full_target_density1
14,0.38364753137420804,0.18590216808092377,11.754188941496873,adaptive,128,1,1485.2142857142858,flame_unsupported,0,ordinary,,123,primary_full_target_density1
14,0.3179832529898819,0.0856899623259931,18.99012552587254,adaptive,128,1,318.2857142857143,oral,0,ordinary,,123,primary_full_target_density1
14,0.23526033524124235,0.07586783253843736,20.519321304520144,adaptive,128,1,79.28571428571429,eyes,0,ordinary,,123,primary_full_target_density1
14,0.21981174964100106,0.059714104031405854,15.260476672911173,adaptive,128,1,4862.928571428572,background,0,ordinary,,123,primary_full_target_density1
11,0.30538196209048435,0.08437052180287595,15.52354151764279,adaptive,128,4,11264.0,full_frame,0,ordinary,0.5484980263493278,123,primary_full_target_density1
11,0.3708498571246634,0.10529400487904651,15.700012774446822,adaptive,128,4,6455.818181818182,foreground,0,ordinary,,123,primary_full_target_density1
11,0.3634709133869944,0.07905460916090973,18.9201191888951,adaptive,128,4,4983.0,flame_supported,0,ordinary,,123,primary_full_target_density1
11,0.38628948851697725,0.20153837216470052,11.231570327499474,adaptive,128,4,1472.8181818181818,flame_unsupported,0,ordinary,,123,primary_full_target_density1
11,0.31655862912796406,0.08604303667932758,19.065004668328427,adaptive,128,4,314.45454545454544,oral,0,ordinary,,123,primary_full_target_density1
11,0.2351848486019181,0.07789280628640102,20.30829682174674,adaptive,128,4,79.0,eyes,0,ordinary,,123,primary_full_target_density1
11,0.21545994196916815,0.05611355183008599,15.558531640667974,adaptive,128,4,4808.181818181818,background,0,ordinary,,123,primary_full_target_density1
7,0.3059556886747286,0.08218484626703963,15.691738689776685,adaptive,128,8,11264.0,full_frame,0,ordinary,0.5500548481941223,123,primary_full_target_density1
7,0.3788560573955452,0.10155344342183499,16.114545501033344,adaptive,128,8,6418.142857142857,foreground,0,ordinary,,123,primary_full_target_density1
7,0.37150133602291036,0.07909117740132218,18.958253018799667,adaptive,128,8,4936.142857142857,flame_supported,0,ordinary,,123,primary_full_target_density1
7,0.39556147443112116,0.18194478029137892,11.931745645043831,adaptive,128,8,1482.0,flame_unsupported,0,ordinary,,123,primary_full_target_density1
7,0.3426782832891417,0.08470557483682847,19.186801251455254,adaptive,128,8,311.85714285714283,oral,0,ordinary,,123,primary_full_target_density1
