change_in_comparison_advantage,ci_high,ci_low,comparison,control_variant,identity_count,metric,n_id,n_obs,reference_variant,region
0.6862795921704243,1.04909446082934,0.34054423397422307,released,head_target_density1,20,masked_psnr,8,4,primary_full_target_density1,oral
-3.031599494643454,-1.9100914240209335,-4.081279808997098,adaptive,head_target_density1,20,masked_psnr,8,4,primary_full_target_density1,torso_outside_head_roi
-2.7632224170202346,-1.825340353771456,-3.663889393196486,released,head_target_density1,20,masked_psnr,8,4,primary_full_target_density1,torso_outside_head_roi
2.869181871391667,3.7989572573943096,1.9624804911273193,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,background
2.273350465532612,3.1708673641762797,1.5120247576332924,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,background
0.7878624900846233,1.3024985701109988,0.3857613756592941,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,eyes
1.2230918244007185,1.8654612919478286,0.6770331281745724,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,eyes
0.5592910318167603,1.3863822093772384,-0.15845992203367748,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,flame_supported
0.5605203801609624,1.238847783323493,-0.0741545066492166,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,flame_supported
-2.6313673844151566,-1.9006503784790396,-3.4060291884095544,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,flame_unsupported
-2.501721934881832,-1.843486945766728,-3.1804543346058836,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,flame_unsupported
-1.856824881531844,-1.0801200508970383,-2.5787202404475495,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,foreground
-1.7778194288896785,-1.0971985926096148,-2.4374423028819807,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,foreground
-1.0092379345044398,-0.05798952960397989,-1.846768548284731,adaptive,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,full_frame
-0.9567757761833111,-0.11885171473369917,-1.718824114659457,released,head_target_density1,20,masked_psnr,8,8,primary_full_target_density1,full_frame
