ci_high,ci_low,control_minus_reference_mean,control_variant,geometry_metric,identity_count,method,n_id,n_obs,reference_variant
-25.984327051242197,-38.018985400994616,-32.345490280787146,head_target_density1,ears_offset_mean_mm,20,released,384,4,primary_full_target_density1
-25.898361390829088,-37.51782175898552,-31.955947049458825,head_target_density1,ears_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-5.9514292772611,-10.911321473121642,-8.359242534637454,full_target_density2,ears_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-6.047100411256155,-10.05038046439489,-8.04266866048177,full_target_density2,ears_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-6.32331290245056,-10.411264164050422,-8.304763301213582,full_target_density2,ears_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-1.849270054499309,-4.439677557547885,-3.143230231602986,full_target_density2,ears_offset_mean_mm,20,released,8,1,primary_full_target_density1
-1.6212627255916598,-3.7471160531044005,-2.6599437872568763,full_target_density2,ears_offset_mean_mm,20,released,8,4,primary_full_target_density1
-1.743778211673101,-3.8068674862384797,-2.7321090539296464,full_target_density2,ears_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,ears_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-8.196880187590915,-13.911622319618864,-11.173723729451499,full_target_density2,ears_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-8.178708832263949,-14.317339486281082,-11.404312928517658,full_target_density2,ears_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-7.707496937513352,-13.712124561071397,-10.825173219045004,full_target_density2,ears_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-15.608667534192405,-23.565436847209934,-19.73867467244466,full_target_density2,ears_offset_mean_mm,20,released,384,1,primary_full_target_density1
-14.192615308761598,-23.18481239000956,-18.913650767008463,full_target_density2,ears_offset_mean_mm,20,released,384,4,primary_full_target_density1
-13.970230414867403,-22.506502142747244,-18.391880766550695,full_target_density2,ears_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,8,8,primary_full_target_density1
0.5727410797278085,-1.632301787535349,-0.4296054840087888,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
1.9660391644636788,0.46873109340667735,1.1985954602559405,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
1.8104508443673453,0.3882743604977927,1.0961781342824302,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-1.2724213743209847,-3.8055787467956548,-2.5300127983093263,head_target_density1,eye_slots_offset_mean_mm,20,released,8,1,primary_full_target_density1
-0.8423585402965548,-3.0467828794320417,-1.900617504119873,head_target_density1,eye_slots_offset_mean_mm,20,released,8,4,primary_full_target_density1
-0.9321898269653325,-2.754983938932418,-1.8178936799367265,head_target_density1,eye_slots_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,eye_slots_offset_mean_mm,20,hard,384,8,primary_full_target_density1
3.379205883741378,1.7856098274389902,2.595606009165446,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
3.2178019167979555,1.4576895566781363,2.361382540067037,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
3.224202409783999,1.6143641487757365,2.4105383634567255,head_target_density1,eye_slots_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
2.3663005344072974,0.5728228898843126,1.4742997805277507,head_target_density1,eye_slots_offset_mean_mm,20,released,384,1,primary_full_target_density1
1.435494107802709,-0.6106406358877818,0.5468557516733805,head_target_density1,eye_slots_offset_mean_mm,20,released,384,4,primary_full_target_density1
1.4891257405281066,-0.48124226053555796,0.6355490843454997,head_target_density1,eye_slots_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,eye_slots_offset_mean_mm,20,hard,8,8,primary_full_target_density1
1.9376781956354774,-0.7214013266563414,0.8036242167154949,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
2.4473732161521915,0.7386624538898462,1.642657438913981,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
2.3425069920221957,0.7192980678876247,1.6135276953379314,full_target_density2,eye_slots_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-0.2788276684284211,-1.9682380994160973,-1.1347133000691731,full_target_density2,eye_slots_offset_mean_mm,20,released,8,1,primary_full_target_density1
-0.05037503918011965,-1.3255382212003066,-0.6552124659220374,full_target_density2,eye_slots_offset_mean_mm,20,released,8,4,primary_full_target_density1
-0.07143033425013219,-1.1103428614139548,-0.549963506062825,full_target_density2,eye_slots_offset_mean_mm,20,released,8,8,primary_full_target_density1
