ci_high,ci_low,control_advantage_mean,control_variant,identity_count,method,metric,n_id,n_obs,reference_variant,region
2.0569776340947374,1.1310842712081248,1.5894610694425473,head_target_density1,20,adaptive,masked_psnr,8,1,primary_full_target_density1,head_supported
-0.24104286688856846,-2.321533485702836,-1.1436431504527858,head_target_density1,20,adaptive,masked_psnr,8,1,primary_full_target_density1,head_unsupported
1.3468711628659504,0.48174246087890565,0.8994092440325367,head_target_density1,20,adaptive,masked_psnr,8,1,primary_full_target_density1,oral
-1.549403550365414,-4.12150592666836,-2.8967684097490136,head_target_density1,20,adaptive,masked_psnr,8,1,primary_full_target_density1,torso_outside_head_roi
3.733502628010907,2.0220749652449115,2.8837995048290592,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,background
1.3380384175573088,0.5008004605817372,0.8847233665453796,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,eyes
1.0231359372538986,-0.568926219334234,0.18631103220596446,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,flame_supported
-1.8312225273237672,-3.4098577284931335,-2.6219011992799715,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,flame_unsupported
-1.0969297207712454,-2.628006681732791,-1.9017746906212216,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,foreground
-0.13294304241200008,-1.8198688854333211,-1.0415421643676503,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,full_frame
1.1897403373842859,0.11545171566256476,0.6379422287489904,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,head_foreground
2.1939076484980102,1.065635477670458,1.622021607340264,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,head_supported
0.24793296233091927,-1.662712840276302,-0.5265005028184142,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,head_unsupported
1.3410322147801534,0.6135767766749843,0.9753277732347106,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,oral
-2.0446661707064453,-4.1397758031524745,-3.1207943109125535,head_target_density1,20,adaptive,masked_psnr,8,4,primary_full_target_density1,torso_outside_head_roi
3.7525715748998936,1.9167705148554697,2.8328109235779246,head_target_density1,20,adaptive,masked_psnr,8,8,primary_full_target_density1,background
