advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,variant
-0.3775583149321669,1.8322664704848375,-2.0416595498811416,adaptive,0.35,20,masked_psnr,8,1,background,full_target_density2
-0.3085728135303146,1.7645678430371476,-1.8487660916772535,released,0.35,20,masked_psnr,8,1,background,full_target_density2
-0.02730711237002339,0.40702280612054204,-0.4433980473058377,adaptive,0.5,20,masked_psnr,8,1,eyes,full_target_density2
-0.24948489634618626,0.12497665311718732,-0.6772160985196073,released,0.4,20,masked_psnr,8,1,eyes,full_target_density2
-1.8538403650902269,-1.330456709194047,-2.4437598449870066,adaptive,0.05,20,masked_psnr,8,1,flame_supported,full_target_density2
-1.7958589858800686,-1.1461508083391445,-2.460307857722445,released,0.1,20,masked_psnr,8,1,flame_supported,full_target_density2
2.806252710730916,3.7602468746823594,1.7743293230159525,adaptive,0.95,20,masked_psnr,8,1,flame_unsupported,full_target_density2
2.7823976655654272,3.7902694449557717,1.7965665874383636,released,0.95,20,masked_psnr,8,1,flame_unsupported,full_target_density2
1.9198404862559595,2.7498659463808033,0.9826566286926928,adaptive,0.85,20,masked_psnr,8,1,foreground,full_target_density2
1.9055692308551748,2.7827460304466816,0.9899057886823646,released,0.85,20,masked_psnr,8,1,foreground,full_target_density2
1.1069858175839422,2.0031938206990305,0.1055512131349723,adaptive,0.75,20,masked_psnr,8,1,full_frame,full_target_density2
1.134291212046144,1.9847294594004776,0.20270142064285282,released,0.75,20,masked_psnr,8,1,full_frame,full_target_density2
-0.10138620273743308,0.41310529292185977,-0.6577047848583498,adaptive,0.55,20,masked_psnr,8,1,head_foreground,full_target_density2
-0.3440397549334002,0.1438023691998831,-0.8818219583985902,released,0.45,20,masked_psnr,8,1,head_foreground,full_target_density2
-2.1413734999217353,-1.6816099957776391,-2.594678719217552,adaptive,0.0,20,masked_psnr,8,1,head_supported,full_target_density2
-2.189408218430157,-1.65813573233874,-2.7736119291051113,released,0.05,20,masked_psnr,8,1,head_supported,full_target_density2
1.3883369845936298,1.9449502712590345,0.8424271666255673,adaptive,0.8,20,masked_psnr,8,1,head_unsupported,full_target_density2
0.9358477736568581,1.4249259429053784,0.44145562446510583,released,0.85,20,masked_psnr,8,1,head_unsupported,full_target_density2
-0.36615904502496954,-0.11185600312142335,-0.6282186700837261,adaptive,0.2,20,masked_psnr,8,1,oral,full_target_density2
-0.300873283369849,-0.055093744763061024,-0.562785179870015,released,0.3,20,masked_psnr,8,1,oral,full_target_density2
2.9079276851323885,4.063707295480957,1.5992573825373344,adaptive,0.85,20,masked_psnr,8,1,torso_outside_head_roi,full_target_density2
2.979235533374189,4.206942207805942,1.6838750311880941,released,0.85,20,masked_psnr,8,1,torso_outside_head_roi,full_target_density2
-0.18635903521259928,1.9855419830881784,-2.039887722511731,adaptive,0.45,20,masked_psnr,8,4,background,full_target_density2
-0.07358224918259895,2.0364744885990453,-1.8048819811947403,released,0.5,20,masked_psnr,8,4,background,full_target_density2
-0.2177782907364902,0.20243619871136637,-0.6366006261166373,adaptive,0.45,20,masked_psnr,8,4,eyes,full_target_density2
-0.4683151307857575,-0.0469637193768927,-0.9247825627114027,released,0.4,20,masked_psnr,8,4,eyes,full_target_density2
-1.7466829674004036,-1.2444005257885813,-2.3180360135153064,adaptive,0.05,20,masked_psnr,8,4,flame_supported,full_target_density2
-1.8005068252375742,-1.2621054781589902,-2.360618957325673,released,0.05,20,masked_psnr,8,4,flame_supported,full_target_density2
3.1562175851205043,3.936257273851386,2.423397407801116,adaptive,0.95,20,masked_psnr,8,4,flame_unsupported,full_target_density2
2.96917132055224,3.6411081236251723,2.348792118307288,released,1.0,20,masked_psnr,8,4,flame_unsupported,full_target_density2
2.2148533822286987,2.92452296803425,1.4501335114437133,adaptive,0.95,20,masked_psnr,8,4,foreground,full_target_density2
2.0856460415513896,2.707384437067688,1.4519592383261841,released,0.95,20,masked_psnr,8,4,foreground,full_target_density2
1.3478795407565325,2.1931447710366663,0.39683855991989614,adaptive,0.8,20,masked_psnr,8,4,full_frame,full_target_density2
1.276304127446559,2.043161773916881,0.41757176538510105,released,0.8,20,masked_psnr,8,4,full_frame,full_target_density2
-0.08147052049436487,0.4219160418032003,-0.6415864633486853,adaptive,0.5,20,masked_psnr,8,4,head_foreground,full_target_density2
-0.26895983416782554,0.2400757178421444,-0.7994154196715748,released,0.4,20,masked_psnr,8,4,head_foreground,full_target_density2
-2.2178921559615006,-1.7205276407142485,-2.756302788169407,adaptive,0.0,20,masked_psnr,8,4,head_supported,full_target_density2
-2.3079295359571423,-1.7405923948670408,-2.9210927252096286,released,0.0,20,masked_psnr,8,4,head_supported,full_target_density2
1.263181507663471,1.7698480200471058,0.7390122475005451,adaptive,0.8,20,masked_psnr,8,4,head_unsupported,full_target_density2
0.9120746254579482,1.4475689955192859,0.40245060553162204,released,0.8,20,masked_psnr,8,4,head_unsupported,full_target_density2
-0.46561920883491065,-0.23226286811264366,-0.7222467006752158,adaptive,0.2,20,masked_psnr,8,4,oral,full_target_density2
-0.3605835310620661,-0.11200254513600301,-0.6215211418273896,released,0.3,20,masked_psnr,8,4,oral,full_target_density2
3.4329863950729136,4.422025161389395,2.40254785319941,adaptive,0.95,20,masked_psnr,8,4,torso_outside_head_roi,full_target_density2
3.221047940239523,4.053094604626427,2.393230938493057,released,0.95,20,masked_psnr,8,4,torso_outside_head_roi,full_target_density2
-0.31390492480806254,1.7237094329590437,-2.076429128913175,adaptive,0.4,20,masked_psnr,8,8,background,full_target_density2
-0.16237908765410713,1.7685748991449104,-1.8240708909781722,released,0.45,20,masked_psnr,8,8,background,full_target_density2
-0.16248294380416156,0.23801617216421828,-0.5657312400595875,adaptive,0.5,20,masked_psnr,8,8,eyes,full_target_density2
-0.302933274524119,0.07264324085283888,-0.7061212943650494,released,0.45,20,masked_psnr,8,8,eyes,full_target_density2
-1.809640199805493,-1.269516586659201,-2.376723496384218,adaptive,0.05,20,masked_psnr,8,8,flame_supported,full_target_density2
-1.6787011184068832,-1.1022887973661555,-2.2393651337255376,released,0.15,20,masked_psnr,8,8,flame_supported,full_target_density2
3.241521550052915,4.053827737151398,2.5300440173215963,adaptive,1.0,20,masked_psnr,8,8,flame_unsupported,full_target_density2
3.1838547878585777,3.8754529344619657,2.576555307137356,released,1.0,20,masked_psnr,8,8,flame_unsupported,full_target_density2
2.2922198025630793,3.0264030697439996,1.5377367307164242,adaptive,0.95,20,masked_psnr,8,8,foreground,full_target_density2
2.309536054726602,2.950727696215433,1.679000023740374,released,0.95,20,masked_psnr,8,8,foreground,full_target_density2
1.379202928512394,2.275600885951236,0.38393790827283136,adaptive,0.8,20,masked_psnr,8,8,full_frame,full_target_density2
1.4424618211714992,2.2220377080404,0.5835811520984407,released,0.8,20,masked_psnr,8,8,full_frame,full_target_density2
-0.07856297981013922,0.42947446692233787,-0.6310583093808954,adaptive,0.45,20,masked_psnr,8,8,head_foreground,full_target_density2
-0.17591370738454826,0.3260796406792219,-0.6873713463367349,released,0.45,20,masked_psnr,8,8,head_foreground,full_target_density2
-2.2940186453477325,-1.8110022835832258,-2.819102651821039,adaptive,0.0,20,masked_psnr,8,8,head_supported,full_target_density2
-2.2700999002817386,-1.6971645530983106,-2.8690763319750383,released,0.0,20,masked_psnr,8,8,head_supported,full_target_density2
1.250715561848652,1.7871753631578722,0.6930374593610616,adaptive,0.8,20,masked_psnr,8,8,head_unsupported,full_target_density2
0.9874039310941523,1.4966954575607683,0.5027382175257412,released,0.85,20,masked_psnr,8,8,head_unsupported,full_target_density2
-0.4554393797642252,-0.19996499657940187,-0.7458029582438643,adaptive,0.2,20,masked_psnr,8,8,oral,full_target_density2
-0.2789280157116455,-0.0045496040139691085,-0.5746262636005545,released,0.35,20,masked_psnr,8,8,oral,full_target_density2
3.5305391586002957,4.517131322506411,2.5058885630822787,adaptive,0.95,20,masked_psnr,8,8,torso_outside_head_roi,full_target_density2
3.5286470607773808,4.381935886281974,2.707938460151392,released,1.0,20,masked_psnr,8,8,torso_outside_head_roi,full_target_density2
-1.2360070182610228,0.20156591444677865,-2.370004673869094,adaptive,0.2,20,masked_psnr,384,1,background,full_target_density2
-1.3640684071662759,-0.5922055804832378,-2.120507340423034,released,0.2,20,masked_psnr,384,1,background,full_target_density2
0.16719526469534163,0.4639176588833694,-0.1303504796918838,adaptive,0.6,20,masked_psnr,384,1,eyes,full_target_density2
-0.22222974706095808,0.14196301778309015,-0.5752084950516669,released,0.35,20,masked_psnr,384,1,eyes,full_target_density2
0.15649143770684165,0.62547623035876,-0.3468187722776717,adaptive,0.55,20,masked_psnr,384,1,flame_supported,full_target_density2
0.10219221846877895,0.5276179303023212,-0.35406880833329585,released,0.55,20,masked_psnr,384,1,flame_supported,full_target_density2
6.5508283970245715,7.812983926202056,5.232751075272139,adaptive,1.0,20,masked_psnr,384,1,flame_unsupported,full_target_density2
6.4570847467322565,7.552702511786179,5.355605980323603,released,1.0,20,masked_psnr,384,1,flame_unsupported,full_target_density2
5.083460383698807,6.096410257210692,3.997291588104867,adaptive,1.0,20,masked_psnr,384,1,foreground,full_target_density2
4.99611252718939,5.928859819007732,4.009003123678019,released,1.0,20,masked_psnr,384,1,foreground,full_target_density2
3.3803631998621086,4.086960151265116,2.621345123420571,adaptive,0.95,20,masked_psnr,384,1,full_frame,full_target_density2
3.4097933631919943,4.042255606033672,2.704807000843559,released,0.95,20,masked_psnr,384,1,full_frame,full_target_density2
2.121717687131732,2.9686016321620396,1.269269731999633,adaptive,0.85,20,masked_psnr,384,1,head_foreground,full_target_density2
2.2492894591607593,2.977547543857124,1.5406860917557643,released,0.9,20,masked_psnr,384,1,head_foreground,full_target_density2
-0.39253927132112826,-0.100633284094387,-0.7018519713883263,adaptive,0.2,20,masked_psnr,384,1,head_supported,full_target_density2
-0.4374030512910327,-0.20193917415084942,-0.6974465376881274,released,0.25,20,masked_psnr,384,1,head_supported,full_target_density2
4.167377626880333,5.616367778366994,2.772723001151385,adaptive,0.9,20,masked_psnr,384,1,head_unsupported,full_target_density2
4.486545079311403,5.701294930588982,3.399056339081708,released,1.0,20,masked_psnr,384,1,head_unsupported,full_target_density2
-0.3391523844741293,-0.0787431169226396,-0.622620337333288,adaptive,0.35,20,masked_psnr,384,1,oral,full_target_density2
-0.2315692728853703,0.04602984714393544,-0.5256899377862644,released,0.35,20,masked_psnr,384,1,oral,full_target_density2
7.2869466850157405,8.603317226025132,5.891494471490855,adaptive,1.0,20,masked_psnr,384,1,torso_outside_head_roi,full_target_density2
6.899727475347163,8.145902645744588,5.613255670880393,released,1.0,20,masked_psnr,384,1,torso_outside_head_roi,full_target_density2
-1.7072031747249532,-0.32929036334574574,-2.857432193028789,adaptive,0.2,20,masked_psnr,384,4,background,full_target_density2
-1.829875820218168,-0.8810141867730888,-2.761567110687829,released,0.1,20,masked_psnr,384,4,background,full_target_density2
0.056595936594954564,0.37847444713491724,-0.27057886266765085,adaptive,0.55,20,masked_psnr,384,4,eyes,full_target_density2
-0.18559070158545127,0.22102294137074308,-0.5808974400174207,released,0.4,20,masked_psnr,384,4,eyes,full_target_density2
0.09874357645979312,0.5614121128849727,-0.4081435573095933,adaptive,0.55,20,masked_psnr,384,4,flame_supported,full_target_density2
0.2182293738700813,0.6610468884752572,-0.24411639882456784,released,0.6,20,masked_psnr,384,4,flame_supported,full_target_density2
6.671837783851228,7.796567787908716,5.493040428686123,adaptive,1.0,20,masked_psnr,384,4,flame_unsupported,full_target_density2
6.717547728040192,7.70009427533639,5.690459415829428,released,1.0,20,masked_psnr,384,4,flame_unsupported,full_target_density2
5.282125916784759,6.228442742032964,4.283788950272526,adaptive,1.0,20,masked_psnr,384,4,foreground,full_target_density2
5.344170520420895,6.203865201659918,4.426897032249912,released,1.0,20,masked_psnr,384,4,foreground,full_target_density2
3.3465686982208482,3.9950708133426307,2.643071325457724,adaptive,1.0,20,masked_psnr,384,4,full_frame,full_target_density2
3.438863186943756,4.0744998122993055,2.794363251647081,released,1.0,20,masked_psnr,384,4,full_frame,full_target_density2
2.3554521434832036,3.2482725238622256,1.440376472777546,adaptive,0.85,20,masked_psnr,384,4,head_foreground,full_target_density2
2.631040305427034,3.410417208507497,1.838553374499808,released,0.9,20,masked_psnr,384,4,head_foreground,full_target_density2
-0.6301628030074624,-0.3569386652443327,-0.9390846089883906,adaptive,0.05,20,masked_psnr,384,4,head_supported,full_target_density2
-0.4827206657695687,-0.24804675132852233,-0.7478233873214352,released,0.25,20,masked_psnr,384,4,head_supported,full_target_density2
4.4158391114547495,5.8396864187535185,3.0132134984114844,adaptive,0.9,20,masked_psnr,384,4,head_unsupported,full_target_density2
