advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,training_seed,variant
-0.15045885357820854,2.256956898795677,-1.9431958795094564,adaptive,0.4,20,masked_psnr,8,1,background,0,full_target_density2
-0.2852461026762014,1.9618719042570927,-1.941033063470326,released,0.3,20,masked_psnr,8,1,background,0,full_target_density2
0.04841103877952602,0.44378357050210304,-0.3606627693131667,adaptive,0.5,20,masked_psnr,8,1,eyes,0,full_target_density2
-0.2883188969712675,0.13771389395902633,-0.7637595853377663,released,0.4,20,masked_psnr,8,1,eyes,0,full_target_density2
-1.950480729254536,-1.4177069741797568,-2.5266625061732473,adaptive,0.05,20,masked_psnr,8,1,flame_supported,0,full_target_density2
-1.6340723208129622,-1.012534360142589,-2.304121038847922,released,0.1,20,masked_psnr,8,1,flame_supported,0,full_target_density2
2.6947515496177568,3.6584557467839613,1.6577300288593204,adaptive,0.95,20,masked_psnr,8,1,flame_unsupported,0,full_target_density2
2.957489769874053,3.8901818327953723,2.0569562960405263,released,0.95,20,masked_psnr,8,1,flame_unsupported,0,full_target_density2
1.8338955670379575,2.680674016813537,0.8938115251728783,adaptive,0.85,20,masked_psnr,8,1,foreground,0,full_target_density2
2.0591527682101054,2.903938395337214,1.1699047881340765,released,0.85,20,masked_psnr,8,1,foreground,0,full_target_density2
1.065024476438857,1.9821880822381612,0.0178783587580207,adaptive,0.75,20,masked_psnr,8,1,full_frame,0,full_target_density2
1.230078601182184,2.094737036157576,0.3406784187694569,released,0.7,20,masked_psnr,8,1,full_frame,0,full_target_density2
-0.15129038230976494,0.4388792839942211,-0.7330452547523844,adaptive,0.5,20,masked_psnr,8,1,head_foreground,0,full_target_density2
-0.241438860177612,0.2770810260548257,-0.7893509777422933,released,0.5,20,masked_psnr,8,1,head_foreground,0,full_target_density2
-2.199235127899243,-1.723001765951074,-2.69073535150433,adaptive,0.0,20,masked_psnr,8,1,head_supported,0,full_target_density2
-2.054184095987065,-1.501760066986679,-2.6741126993568427,released,0.05,20,masked_psnr,8,1,head_supported,0,full_target_density2
