condition,radius_mm,oral_heldout_psnr,supported_heldout_psnr,unsupported_heldout_psnr,head_heldout_psnr
hard,0.0,25.56167749463438,20.042981023281584,11.584424540391563,13.75367104574131
r010,10.0,26.55862052271924,24.16936079296955,14.074373440087003,16.238582280633175
r025,25.0,26.902693471602213,24.820651814867162,18.937315777610564,20.400221709524303
r050,50.0,26.261923183075982,24.68240178276763,25.978803245826693,25.28007291334451
r075,75.0,27.10507729308351,24.310126674896388,27.070465779067085,25.559889940612322
r100,100.0,26.29686638780152,24.323537706093433,27.464261074352972,25.67171621161411
r150,150.0,26.39458969104261,24.38207639531518,27.397619862807712,25.64505432156176
r200,200.0,26.48284120177676,24.326430077413196,27.297745072707244,25.65518290765534
free,-1.0,26.476867553520336,24.547308518960854,27.620377699700136,25.84748599417935
