fold,condition,radius_mm,oral_train_psnr,oral_heldout_psnr,unsupported_train_psnr,unsupported_heldout_psnr,head_train_psnr,head_heldout_psnr
fold_a,hard,0.0,33.034836677721074,25.283876190159603,11.639270797706608,12.048168236233966,14.161796064932394,14.318725560116937
fold_a,r010,10.0,34.76909568478599,26.80218954637953,14.179914257624475,14.535043998955292,16.72820014080309,16.879466216647998
fold_a,r025,25.0,36.13907788694846,27.170440925044907,19.433010201480194,19.618743523592048,21.967094264923517,21.378469694623863
fold_a,r050,50.0,36.15993655291423,26.89351217541393,29.18654005319898,26.63608150640337,31.45679035623279,26.157481183813843
fold_a,r075,75.0,36.18882848345498,27.107059139816066,34.1692415399028,27.604336479402832,35.62398708645217,26.388180940753212
fold_a,r100,100.0,36.52872678620741,26.98874462273088,36.30319189169338,27.95709983503289,37.200106059011766,26.5670186948731
fold_a,r150,150.0,36.18293537684915,27.10513833798585,36.99477777790664,28.12877261812919,37.78824546158045,26.74991003082748
fold_a,r200,200.0,35.4940548314931,27.08307999437679,37.60386759444563,28.524603535832526,38.1186706659624,26.74306154760933
fold_a,free,-1.0,36.17347769627593,26.977098132615488,37.77040334017424,28.669297892824524,38.2139761323814,26.6138083930461
fold_b,hard,0.0,32.21708812249651,28.461794915034584,11.91843595328111,11.099936938047891,14.542447348658575,13.226038788874943
fold_b,r010,10.0,33.92937796233585,30.510298560410234,14.458139249959338,13.70555887120426,17.131277592205475,15.867115927922596
fold_b,r025,25.0,34.07259104367514,30.331098602916356,19.6979689936125,19.128538648459866,22.272155010959068,20.998339795678696
fold_b,r050,50.0,34.48600225803669,30.086688293793504,28.880003927039706,28.14802039462448,31.032952674526516,28.149380312118645
fold_b,r075,75.0,34.007958274718696,30.420786941603698,33.30821402430572,30.751212414239625,34.494619893033295,28.826793699401964
fold_b,r100,100.0,33.85436462398598,29.56327288354631,35.10896204218063,31.5017683335506,35.93196125480086,29.187834273472784
fold_b,r150,150.0,33.590314673235376,29.367419525666257,36.119216711899526,31.232285747602116,36.49804758146587,28.980013057065626
fold_b,r200,200.0,33.74538814016538,28.932529860630616,36.13088132517985,31.474297730189384,36.48782959265076,29.033668653617717
fold_b,free,-1.0,33.635142597306164,29.726195464132715,36.24495033919631,31.842268281095652,36.54196927940759,29.269064453898032
fold_c,hard,0.0,31.687244227170257,27.84654831226081,11.808317619877561,11.436302380755002,14.515028073947063,13.317462356736995
fold_c,r010,10.0,32.85880396258853,26.692510250184426,14.24192283090934,13.776881219735074,16.9966538082405,15.729559730130045
fold_c,r025,25.0,33.23914890123304,26.68428300672224,19.594534696057494,19.14747145290508,22.211356319384915,20.76896098546502
fold_c,r050,50.0,33.121692451840715,26.354587695694732,29.029780423987745,27.180161567421578,31.12668315077021,27.031657524469356
fold_c,r075,75.0,32.774959557291375,27.93528798187964,33.67372753250993,28.942973281581725,34.741243807595474,27.507653030890168
fold_c,r100,100.0,33.494713406600575,27.29881471531888,35.09333904685595,29.38608860989969,35.795601239819824,27.713503312847422
fold_c,r150,150.0,32.732589114335276,27.680155779813305,36.17798662949557,29.34926203669742,36.41983250848463,27.67511385876311
fold_c,r200,200.0,33.08062545581356,27.912094195722503,35.68026118553592,29.216781484508182,36.11300887718919,27.73673825280922
fold_c,free,-1.0,33.011390536534144,28.343954885943518,36.066944294329694,29.51345954837952,36.34461191858041,28.117989519227567
fold_d,hard,0.0,33.297628786700635,20.65449056108251,11.743603019744938,11.753290606529394,14.0094540607644,14.152457477236371
fold_d,r010,10.0,35.26055705891876,22.229483733902764,14.398211906288756,14.280009670453385,16.674493489485936,16.478187247832054
fold_d,r025,25.0,34.80787896555373,23.424951351725355,19.916013284052163,17.85450948548527,22.229600529867906,18.455116362329633
fold_d,r050,50.0,34.86127405012598,21.712904567401765,30.110441956857837,21.950949514857342,31.905004785707714,19.781772632976203
fold_d,r075,75.0,35.31396407853117,22.957175109034644,35.38088191203409,20.983340941044162,35.88931496864673,19.51693209140393
fold_d,r100,100.0,35.820699353301244,21.336633329610006,36.72181678650807,21.012087518928713,36.89300839768385,19.21850856526315
fold_d,r150,150.0,35.205191788408925,21.42564512070503,37.685440992174726,20.88015904880212,37.67463577820285,19.175180339590828
fold_d,r200,200.0,35.72421305091728,22.003660756377137,37.39327308434454,19.975297540298893,37.40928994720198,19.1072631765851
fold_d,free,-1.0,35.1427742375159,20.860221731389615,37.85046538432237,20.45648507650085,37.55037065319424,19.389081610545716
