fold,condition,radius_mm,camera_id,split,oral_psnr,oral_mae,supported_psnr,unsupported_psnr,head_psnr
fold_a,hard,0.0,222200042,train,28.324521010361327,0.024918299913406373,29.82186273637119,11.99873900436115,16.0780766369692
fold_a,hard,0.0,222200044,train,27.79757755123059,0.02930077666756492,22.958747174543603,12.596938787919454,15.151955688614645
fold_a,hard,0.0,222200046,heldout,26.39774551444002,0.03770739237467448,21.855633586244508,12.388673728014654,15.104949630606399
fold_a,hard,0.0,222200040,heldout,23.65455589559298,0.05513809778357065,19.43083110296437,13.426192880302194,14.94772900718009
fold_a,hard,0.0,222200036,train,34.688209312214134,0.013766625544407985,24.36963804841723,10.115392925941354,12.57200849218098
fold_a,hard,0.0,222200048,train,32.876282925847285,0.017254902067638578,23.43413789332191,12.338575380437897,14.042383705601482
fold_a,hard,0.0,220700191,train,36.54487832732465,0.010559886334890342,23.63517997927231,10.233906258218184,12.614240487397602
fold_a,hard,0.0,222200041,train,35.2237461415247,0.012922501942468068,21.66170043145343,12.139565005244823,13.790523659105979
fold_a,hard,0.0,222200037,train,37.354854045583494,0.009616012374560038,22.38866013605353,10.219627473138026,12.61394304979575
fold_a,hard,0.0,222200038,train,33.254430396685294,0.01678841410119549,20.484380991634247,13.967226296343465,15.541433326933738
fold_a,hard,0.0,222200047,train,37.034228495797244,0.009762202594297152,21.786846588801744,10.126302238219713,12.589019357343398
fold_a,hard,0.0,222200043,train,33.6233366816677,0.014743513049501361,23.17966651111801,12.266566418331903,14.440996623821006
fold_a,hard,0.0,222200049,heldout,25.328122904518327,0.04686216618810783,21.056064975016817,10.35368582044375,12.975546804306862
fold_a,hard,0.0,222200039,heldout,25.755080446087085,0.0450929745223171,20.773770193978038,12.024120516175262,14.246676798374395
fold_a,hard,0.0,222200045,train,30.375973644478265,0.01947377685807709,24.42449932831086,12.446039731355153,15.508326431852806
fold_a,hard,0.0,221501007,train,29.320001599938163,0.022875816027323404,28.89128796086894,11.22237005296818,14.998645319572155
fold_a,r010,10.0,222200042,train,31.36005944997119,0.016732025146484374,35.82540493327667,13.739867230518957,17.887230749885813
fold_a,r010,10.0,222200044,train,30.154774336594063,0.020890369355303685,28.46236059069099,15.836614666841841,18.4635245249313
fold_a,r010,10.0,222200046,heldout,27.85009803264196,0.03457013643704928,26.578614571360475,14.595490206340342,17.493976739288293
fold_a,r010,10.0,222200040,heldout,23.465348048220307,0.06146321040327831,22.746515955548162,15.966623711180778,17.518216507880847
fold_a,r010,10.0,222200036,train,36.94875035441635,0.010110151517641294,33.40943034089756,12.133703784184354,14.688686494043306
fold_a,r010,10.0,222200048,train,37.30534348270058,0.010091502780006045,29.40363777737835,15.444373515022733,17.122002988940068
fold_a,r010,10.0,220700191,train,38.3839672444852,0.008646349351568872,34.50039120346767,12.364302879790674,14.85258636894509
fold_a,r010,10.0,222200041,train,37.41549044138926,0.009162774918571351,26.11610478133152,15.114761705858509,16.655134650451785
fold_a,r010,10.0,222200037,train,36.35183311428219,0.010996731122334798,35.36695127229529,12.348789143630814,14.891846417819055
fold_a,r010,10.0,222200038,train,31.226381777973252,0.021818531884087458,24.33779389573654,16.660412516824078,18.14653988593035
fold_a,r010,10.0,222200047,train,36.56733173237561,0.010244287215789722,32.57397668955622,12.274800320309943,14.910556886255847
fold_a,r010,10.0,222200043,train,32.48139473527855,0.019710831690316247,27.149982576020285,15.341155332830281,17.41297832205658
fold_a,r010,10.0,222200049,heldout,26.142044464215846,0.04452541936463663,26.20076432732504,12.59691562576733,15.358301125456915
fold_a,r010,10.0,222200039,heldout,29.751267640440012,0.026123524944295564,23.91634397716284,14.981146452532716,17.14737049396593
fold_a,r010,10.0,222200045,train,35.735562114438444,0.011697671352288662,29.03822836182796,15.605702296923308,18.56229294157536
fold_a,r010,10.0,221501007,train,33.29825943352709,0.011346405347188313,36.59612468412442,13.294487698758193,17.145021458802518
fold_a,r025,25.0,222200042,train,31.188408949132356,0.014901960889498392,39.67798333619294,17.377633415270463,21.530723662665167
fold_a,r025,25.0,222200044,train,30.26587799262886,0.019558516688316874,35.81937996743318,21.67699702702774,24.23902197420478
fold_a,r025,25.0,222200046,heldout,28.031503056705596,0.03404725881723257,27.963048389819,19.191509478169632,21.776363473342485
fold_a,r025,25.0,222200040,heldout,23.2075566274443,0.06404385310347362,23.384572234298755,21.157752886042637,21.821102701966637
