subject,sequence,stress_region,density_multiplier,gaussian_count,condition,mean_constraint,scale_cap_mm,supported_psnr,unsupported_psnr,head_psnr,supported_center_error_mm,unsupported_center_error_mm,axis_max_p90_mm,axis_fraction_at_cap,total_trainable_parameters,final_loss
422,EXP-2-eyes,eyes,1.0,5023,hard_cap003,hard,3.0,18.088877870216077,4.056300180872007,8.627110292602392,3.968512474086577,41.169468875020065,3.0,0.9749153892096357,50230,0.3285793662071228
422,EXP-2-eyes,eyes,1.0,5023,hard_cap030,hard,30.0,26.86371486990735,14.153005902530948,18.611971469212225,3.968512474086577,41.169468875020065,12.03084888458252,0.009755126418475014,50230,0.08105037361383438
422,EXP-2-eyes,eyes,1.0,5023,free_cap003,free,3.0,31.221627532059355,20.657952874940136,24.761179889339488,4.475977696827349,8.401395148614471,3.0,0.9880549472426836,50230,0.043471675366163254
422,EXP-2-eyes,eyes,1.0,5023,free_cap030,free,30.0,37.13616831268212,27.504577453121815,31.364476194493747,4.587864098972315,7.537614212801873,10.793878555297852,0.010352379056340831,50230,0.016969934105873108
422,EXP-2-eyes,eyes,4.0,20092,hard_cap003,hard,3.0,26.246661602898712,4.334053420651724,9.454171360400077,2.994084596887633,40.721121159235,3.0,0.9505773442166037,200920,0.24039137363433838
422,EXP-2-eyes,eyes,4.0,20092,hard_cap030,hard,30.0,28.3543050910533,18.57475076683905,22.417273552055217,2.994084596887633,40.721121159235,9.185109424591065,0.010800318534740195,200920,0.04856827110052109
422,EXP-2-eyes,eyes,4.0,20092,free_cap003,free,3.0,40.61381379240386,28.24190920279216,32.72716457249108,3.2136306422249628,4.971002744859986,3.0,0.9282799124029465,200920,0.013476830907166004
422,EXP-2-eyes,eyes,4.0,20092,free_cap030,free,30.0,43.61387707493048,32.03361487715418,36.37349324971701,3.056303880820349,4.886780671100462,6.199988889694216,0.0011945052757316346,200920,0.008583330549299717
443,FREE,free_motion_static_frame,0.25,1256,hard_cap003,hard,3.0,18.164402704555382,2.9318846921430985,6.241502947238532,4.8764609230869365,41.48366223405464,3.0,1.0,12560,0.43804338574409485
443,FREE,free_motion_static_frame,0.25,1256,hard_cap030,hard,30.0,21.811305792908453,13.647181318078092,16.183863273273005,4.8764609230869365,41.48366223405464,21.247714042663574,0.08121019108280254,12560,0.10323028266429901
443,FREE,free_motion_static_frame,0.25,1256,free_cap003,free,3.0,22.07185228168929,12.916419154560495,15.89178443347198,8.573153331152804,11.933928414370566,3.0,1.0,12560,0.13125215470790863
443,FREE,free_motion_static_frame,0.25,1256,free_cap030,free,30.0,36.0515274165843,30.883835280480437,32.86230424857158,6.320004596503778,10.994998053460234,15.577519416809082,0.0023885350318471337,12560,0.015480204485356808
443,FREE,free_motion_static_frame,1.0,5023,hard_cap003,hard,3.0,18.86758104965585,2.9472161975446465,6.291370872014302,4.248550073962965,41.456190353872735,3.0,0.9468445152299423,50230,0.42860475182533264
443,FREE,free_motion_static_frame,1.0,5023,hard_cap030,hard,30.0,22.29102783323359,13.869672273373245,16.368108522098844,4.248550073962965,41.456190353872735,13.590593338012697,0.03045988453115668,50230,0.0977010652422905
443,FREE,free_motion_static_frame,1.0,5023,free_cap003,free,3.0,35.8479131390685,22.442586996512166,25.84137450689881,4.201448181979087,6.069495274238584,3.0,0.9611785785387219,50230,0.029615066945552826
443,FREE,free_motion_static_frame,1.0,5023,free_cap030,free,30.0,39.7217587221725,32.2824792190215,34.84569646482013,4.1715387123685845,8.81666319262933,11.835780334472657,0.0063706948039020505,50230,0.011442126706242561
443,FREE,free_motion_static_frame,4.0,20092,hard_cap003,hard,3.0,22.763572973522294,3.063303191285412,6.563215938540433,3.59900270331603,41.31154704870231,3.0,0.9532152100338444,200920,0.3834684491157532
443,FREE,free_motion_static_frame,4.0,20092,hard_cap030,hard,30.0,25.053676972054898,17.83112604122542,20.15300429768329,3.59900270331603,41.31154704870231,10.942023944854741,0.020804300218992634,200920,0.059318628162145615
