ci_high,ci_low,condition,identity_count,mean_displacement_fraction,metric,n_id,n_obs,positive_means_better_quality_at_matched_linear_displacement,region,release_radius_mm,utility_above_hard_released_chord
1.379109296716531,0.602426549950512,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_foreground,30.0,0.9911653319171723
0.27827077835377456,-0.09584755675551701,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_supported,30.0,0.09800880832725908
1.6936830687592976,0.511200034486094,adaptive_r30,20,0.25493201662670534,masked_psnr,384,4,True,head_unsupported,30.0,1.1153114816041712
1.2537916272750183,0.32689578571835937,adaptive_r75,20,0.5129847676080846,masked_psnr,384,4,True,head_foreground,75.0,0.7813866189481493
-0.342599641298575,-0.6768373624408145,adaptive_r75,20,0.5129847676080846,masked_psnr,384,4,True,head_supported,75.0,-0.5069891649002762
2.1447403459997716,0.6511345967441261,adaptive_r75,20,0.5129847676080846,masked_psnr,384,4,True,head_unsupported,75.0,1.4140784618173696
0.15392846811124467,-0.3255553004720315,adaptive_r150,20,0.8252997387996706,masked_psnr,384,4,True,head_foreground,150.0,-0.07912607243379037
-0.25920328246908925,-0.6174720334471208,adaptive_r150,20,0.8252997387996706,masked_psnr,384,4,True,head_supported,150.0,-0.43928442546758084
0.7163445615549273,-0.28350364932206906,adaptive_r150,20,0.8252997387996706,masked_psnr,384,4,True,head_unsupported,150.0,0.21408414426906427
0.00626467539701027,-0.0034698748008255313,adaptive_r30,20,0.25493201662670534,lpips_alex_spatial,384,4,True,head_foreground,30.0,0.0014227248162708844
0.005234330439899971,-0.005607943213255153,adaptive_r30,20,0.25493201662670534,lpips_alex_spatial,384,4,True,head_supported,30.0,-0.0001329471329651444
0.015803049444796623,0.0058280250745666165,adaptive_r30,20,0.25493201662670534,lpips_alex_spatial,384,4,True,head_unsupported,30.0,0.01064822886034038
-0.004172465534864936,-0.01909060268234327,adaptive_r75,20,0.5129847676080846,lpips_alex_spatial,384,4,True,head_foreground,75.0,-0.011581863124829447
-0.005325773982029052,-0.020283326601242314,adaptive_r75,20,0.5129847676080846,lpips_alex_spatial,384,4,True,head_supported,75.0,-0.01271835876323509
0.005554510223559326,-0.015305632720057754,adaptive_r75,20,0.5129847676080846,lpips_alex_spatial,384,4,True,head_unsupported,75.0,-0.004823703813526206
-0.0008148065195841733,-0.013687077896880277,adaptive_r150,20,0.8252997387996706,lpips_alex_spatial,384,4,True,head_foreground,150.0,-0.007256493594806646
-0.0008465792421574828,-0.013276118407133605,adaptive_r150,20,0.8252997387996706,lpips_alex_spatial,384,4,True,head_supported,150.0,-0.007103904214242241
-0.0023361117062797483,-0.018924709354841224,adaptive_r150,20,0.8252997387996706,lpips_alex_spatial,384,4,True,head_unsupported,150.0,-0.010726603390796438
