alpha_iou,alpha_mae,camera_id,lpips_alex_spatial,masked_mae,masked_mse,masked_psnr,n_obs,pixel_count,region,subject
0.9115869017632242,0.03364221006631851,222200048,0.2534091795652157,0.14093628490157253,0.06490080785906586,11.877498972435315,1,3993,head_foreground,017
0.978875171467764,0.009791023097932339,222200048,0.2425858611432613,0.09029236258466221,0.020922714812492856,16.793819645662474,1,3645,head_supported,017
0.15692307692307692,0.023851187899708748,222200048,0.3667744165179373,0.6713877710802801,0.5255333911413433,2.7939968472094945,1,348,head_unsupported,017
0.23081499107674003,0.11664753407239914,222200048,0.5613663165889985,0.73261942426596,0.5967968083729288,2.241735081053134,1,1710,torso_outside_head_roi,017
0.9102781136638453,0.03411131352186203,222200039,0.2600145601939006,0.14297327003325802,0.0635437452936747,11.969271912646153,1,4150,head_foreground,017
0.9786448721328763,0.008874409832060337,222200039,0.24260501072081794,0.09145673233382218,0.018776049229683654,17.263957847136858,1,3793,head_supported,017
0.15204678362573099,0.025236904621124268,222200039,0.4449851412733062,0.6903183880974265,0.539184855257207,2.682623148603404,1,357,head_unsupported,017
0.3342637822749477,0.08653103560209274,222200039,0.5375695926626933,0.6148579565793242,0.4843852354488832,3.14809103061606,1,1455,torso_outside_head_roi,017
0.9026758739749676,0.04200787842273712,222200046,0.24246852177816333,0.1603385192507711,0.08306131293823076,10.806012083414533,1,4647,head_foreground,017
0.9837086727359846,0.008132039569318295,222200046,0.23331548291413362,0.09395118887632767,0.023122419775569995,16.3596671868632,1,4174,head_supported,017
0.1673913043478261,0.03387583792209625,222200046,0.32323986480906447,0.7461752162339236,0.6119934469146406,2.1325322815517076,1,473,head_unsupported,017
0.27842227378190254,0.11228512972593307,222200046,0.4282876765195447,0.6397721391454276,0.5224076162180221,2.8199050007649626,1,1746,torso_outside_head_roi,017
0.9042594013814275,0.04962225258350372,221501007,0.3175228920377081,0.1833989731829634,0.08820221651906732,10.545205009236845,1,5226,head_foreground,017
0.9792768027067034,0.014767245389521122,221501007,0.3100950935220184,0.1253322150395168,0.03400949720281992,14.68399788639314,1,4729,head_supported,017
0.16977225672877846,0.034855008125305176,221501007,0.38819903674979567,0.7359094344714118,0.6038508475986125,2.1907031976320135,1,497,head_unsupported,017
0.3153393907001603,0.11668732017278671,221501007,0.5097878137213501,0.606926564087065,0.48696247660804187,3.125045025018212,1,1887,torso_outside_head_roi,017
0.9025049115913556,0.0366952046751976,222200038,0.2525692182332496,0.148943345180314,0.07289528990812051,11.373005324913219,1,4082,head_foreground,017
0.9774132831406293,0.009452443569898605,222200038,0.24229333912951231,0.09094166616775062,0.021174509572098096,16.741866396795746,1,3719,head_supported,017
0.11331444759206799,0.027242762967944145,222200038,0.3578476918958764,0.7431809326396063,0.6027839317356807,2.1983833308523764,1,363,head_unsupported,017
0.21509824198552224,0.06774811446666718,222200038,0.4627974176981363,0.6846361683714023,0.5618429937196704,2.503850304943943,1,996,torso_outside_head_roi,017
0.9187636219536358,0.04425257816910744,222200044,0.29271760239028405,0.18108316977303257,0.07597972684149958,11.193022721322155,1,5087,head_foreground,017
0.9846883761052404,0.014960327185690403,222200044,0.2864903097705952,0.13868080804421862,0.038697859804066925,14.123130530944191,1,4637,head_supported,017
0.17317073170731706,0.02929225005209446,222200044,0.3568865966796875,0.618016040943287,0.46014865451388887,3.3710184352343346,1,450,head_unsupported,017
0.312,0.08675039559602737,222200044,0.543069736230747,0.6645611566469314,0.5085191282904499,2.9369270615373195,1,1404,torso_outside_head_roi,017
0.8891582194799471,0.0457402803003788,220700191,0.22594194233876513,0.14785562703405758,0.08431196391123487,10.741107943910798,1,4545,head_foreground,017
0.9804890096320079,0.008762579411268234,220700191,0.21398021333392506,0.0700445020504034,0.014331678505286155,18.43702942687494,1,4049,head_supported,017
0.1329243353783231,0.036977704614400864,220700191,0.3235893864785471,0.7830516035838794,0.655582510015016,1.8337264129020343,1,496,head_unsupported,017
0.21977186311787072,0.1844942569732666,220700191,0.5439088886638012,0.6940408157373481,0.5812868091765314,2.3560953213881715,1,2661,torso_outside_head_roi,017
0.8938454198473282,0.04080823436379433,222200047,0.20839023363130652,0.14126626132273323,0.07986646770542054,10.976355229040449,1,4202,head_foreground,017
0.9798140770252324,0.008581507951021194,222200047,0.20346825588271913,0.06835322014891822,0.015304680258998728,18.151757391279343,1,3765,head_supported,017
0.1358313817330211,0.03222673758864403,222200047,0.2507958313965961,0.7694531287244947,0.6361025323584096,1.9647287547032448,1,437,head_unsupported,017
0.22768974145120935,0.16662149131298065,222200047,0.5366780732477954,0.6792500229653746,0.564929923562688,2.4800542067176683,1,2438,torso_outside_head_roi,017
0.9018341513820718,0.03470329940319061,222200043,0.24592933517353963,0.14183836299040894,0.06989437410201149,11.55557779830595,1,3886,head_foreground,017
0.9770797962648556,0.008738620206713676,222200043,0.23177017704133066,0.08331285587145998,0.01829426047082803,17.376851417898404,1,3534,head_supported,017
0.11275964391691394,0.025964679196476936,222200043,0.3880839781327681,0.7294210376161517,0.5879478454589844,2.306611967707235,1,352,head_unsupported,017
0.27207062600321025,0.08263515681028366,222200043,0.5033969879150391,0.666091791788737,0.5434521357218425,2.6483870016511633,1,1280,torso_outside_head_roi,017
0.9123994921709692,0.03873002529144287,222200045,0.2890802323190789,0.16361112253289473,0.06867313425164474,11.63213130891344,1,4750,head_foreground,017
0.9811802973977695,0.010273415595293045,222200045,0.27370274199872213,0.1155583642820148,0.027289124669638707,15.640103946064897,1,4304,head_supported,017
0.2109004739336493,0.028456611558794975,222200045,0.4374764617783072,0.6273309225815116,0.46803815126062687,3.2971874477489576,1,446,head_unsupported,017
0.4133138258961229,0.07394379377365112,222200045,0.52630790748843,0.5618356777385873,0.42704237995746464,3.6952902317554037,1,1391,torso_outside_head_roi,017
0.8950194408442881,0.0546472929418087,222200042,0.2831929618426506,0.19812657034271966,0.0969115139159107,10.136246219885903,1,5429,head_foreground,017
0.9836337269525586,0.012588631361722946,222200042,0.27337786838680855,0.13466861615004144,0.03893149000333411,14.096989744518147,1,4827,head_supported,017
0.14982578397212543,0.04205866903066635,222200042,0.3618930043572207,0.7069498022001315,0.5618111746651786,2.5040962674505165,1,602,head_unsupported,017
0.3125,0.10499081760644913,222200042,0.5021273028322589,0.6193083175505051,0.5004192313762627,3.006660084908064,1,1716,torso_outside_head_roi,017
0.9095979549151755,0.03744079917669296,222200040,0.22893691988396778,0.160919189453125,0.06849881475969222,11.643169430736869,1,4328,head_foreground,017
0.9789446981227803,0.011573263444006443,222200040,0.2218510875963185,0.1145148249057955,0.028070424991312837,15.517510120187568,1,3942,head_supported,017
0.1523545706371191,0.025867538526654243,222200040,0.301300562725166,0.6348208096360913,0.4813711532039346,3.1751993894616293,1,386,head_unsupported,017
0.30225409836065575,0.062312960624694824,222200040,0.4465543518066406,0.6586192626953125,0.5111116536458333,2.9148421676266394,1,1000,torso_outside_head_roi,017
0.9011063445473019,0.04038681834936142,222200049,0.21824854054858295,0.15639208980706745,0.07601336058699103,11.191100666765827,1,4437,head_foreground,017
0.9770973363206373,0.010028894990682602,222200049,0.2111025851313558,0.09367587249631773,0.0193750167642824,17.127579130470878,1,4017,head_supported,017
0.16019417475728157,0.030357925221323967,222200049,0.28659459068661647,0.7562278142051091,0.6177186027405754,2.0920931958520166,1,420,head_unsupported,017
0.25290822921154676,0.15614624321460724,222200049,0.5613390046142057,0.6462083416622246,0.5248842631152274,2.7993644789231267,1,2345,torso_outside_head_roi,017
0.8927820602662929,0.04057244956493378,222200036,0.22098783245455605,0.1478573696824264,0.08090392265121281,10.920304209776406,1,4291,head_foreground,017
0.9796875,0.007538506295531988,222200036,0.2080212910970052,0.0752308898501926,0.015744290086958143,18.028769170069555,1,3840,head_supported,017
0.1360544217687075,0.03303394839167595,222200036,0.3313902455264343,0.7662293066911493,0.6356998282895648,1.9674790587787165,1,451,head_unsupported,017
0.22301255230125522,0.16729718446731567,222200036,0.5602233357730603,0.6910652121810084,0.578229857206115,2.378994870598945,1,2423,torso_outside_head_roi,017
