radius_mm,label,steps,seed,mean_offset_mm,supported_psnr,transition_psnr,unsupported_psnr,head_psnr,supported_lp_mse,unsupported_lp_mse,pcd_to_means_supported_mean_mm,pcd_to_means_unsupported_mean_mm
0.0,0mm,600,0,0.0,27.071292920950498,22.127231948633415,12.192127767272954,16.975942118987014,0.00202691827253115,0.06755757880125583,3.906856624486399,40.87657447557495
2.0,2mm,600,0,1.8234460353851318,27.32687943608955,22.48767371655918,12.667540027419182,17.42888411019916,0.0019137013139589498,0.06268108593749372,3.8597208138239947,39.36468156192422
5.0,5mm,600,0,4.54876708984375,28.065698878734455,22.771265381738125,12.709523210384894,17.524150625216883,0.0016228197505365643,0.061346503420880244,4.135617536307345,37.1074313916914
10.0,10mm,600,0,8.962152481079102,28.80516547178723,23.190258701620944,13.354104851068161,18.17667645085231,0.0013886465413505886,0.05266936938220639,4.67534139283884,32.99922735959057
25.0,25mm,600,0,20.176612854003906,30.286422138527207,23.662851491302696,16.612697753826076,21.122884495051316,0.000980773007613839,0.028187520905173104,5.000654697094457,22.183625498272743
-1.0,free,600,0,25.69153594970703,33.10962432752324,28.95652383895197,25.03604528553916,28.61613560124474,0.0005111470437132727,0.003302905644642269,4.988284893909242,10.285290295043273
