ci_high,ci_low,comparison,high_n_id,identity_count,low_n_id,metric,n_obs,region,release_advantage_change,seed_aggregation
0.5616488724163259,-2.757422377861462,adaptive,384,19,8,masked_psnr,1,background,-1.1164326663348643,paired gaps averaged within identity across seeds
0.895933719090683,-4.221646781837834,released,384,19,8,masked_psnr,1,background,-1.3451845279370769,paired gaps averaged within identity across seeds
1.0852383785558968,-0.31322041571786524,adaptive,384,19,8,masked_psnr,1,eyes,0.3039339841182464,paired gaps averaged within identity across seeds
1.106207388764382,-0.16511593302449773,released,384,19,8,masked_psnr,1,eyes,0.4317036347839741,paired gaps averaged within identity across seeds
2.4928472432248205,1.2951535339117348,adaptive,384,19,8,masked_psnr,1,flame_supported,1.8417169097458181,paired gaps averaged within identity across seeds
2.4180156031313227,1.151710099955041,released,384,19,8,masked_psnr,1,flame_supported,1.7884460601587377,paired gaps averaged within identity across seeds
4.245564222867587,2.3107316148962784,adaptive,384,19,8,masked_psnr,1,flame_unsupported,3.335929511686204,paired gaps averaged within identity across seeds
5.272205399239241,2.9886105766573974,released,384,19,8,masked_psnr,1,flame_unsupported,4.188831492890932,paired gaps averaged within identity across seeds
3.4776977326781275,2.1409018060010268,adaptive,384,19,8,masked_psnr,1,foreground,2.837525607569448,paired gaps averaged within identity across seeds
4.240886879730239,2.5398849591276984,released,384,19,8,masked_psnr,1,foreground,3.4319530879153057,paired gaps averaged within identity across seeds
2.4904097883251928,1.476658197862141,adaptive,384,19,8,masked_psnr,1,full_frame,1.9662375629521585,paired gaps averaged within identity across seeds
2.9460089688554416,2.0450896247490227,released,384,19,8,masked_psnr,1,full_frame,2.4935193518057917,paired gaps averaged within identity across seeds
0.4297812190172484,-0.1962624079743207,adaptive,384,19,8,masked_psnr,1,oral,0.10814066756950798,paired gaps averaged within identity across seeds
0.14934665547728732,-0.3432554913529425,released,384,19,8,masked_psnr,1,oral,-0.09233116468150353,paired gaps averaged within identity across seeds
0.2332102335083274,-3.331053971951122,adaptive,384,19,8,masked_psnr,4,background,-1.5750551066180054,paired gaps averaged within identity across seeds
0.3272440857644023,-4.742772078203867,released,384,19,8,masked_psnr,4,background,-2.0045226028281484,paired gaps averaged within identity across seeds
1.1713056377595985,-0.07748185152064213,adaptive,384,19,8,masked_psnr,4,eyes,0.506475813896872,paired gaps averaged within identity across seeds
1.4580594872676818,-0.01130928716751357,released,384,19,8,masked_psnr,4,eyes,0.7052881816841114,paired gaps averaged within identity across seeds
2.3647920600610832,1.0631901837860191,adaptive,384,19,8,masked_psnr,4,flame_supported,1.6638356098475173,paired gaps averaged within identity across seeds
2.4298670417579564,1.2437111458063566,released,384,19,8,masked_psnr,4,flame_supported,1.8354337467168313,paired gaps averaged within identity across seeds
4.1610485546091045,2.212375209567445,adaptive,384,19,8,masked_psnr,4,flame_unsupported,3.206151112262801,paired gaps averaged within identity across seeds
4.999982235078531,2.85564988606043,released,384,19,8,masked_psnr,4,flame_unsupported,3.961557382637308,paired gaps averaged within identity across seeds
3.3709825265931026,2.0491913324733417,adaptive,384,19,8,masked_psnr,4,foreground,2.7307466826127684,paired gaps averaged within identity across seeds
4.067341638838441,2.519469376420523,released,384,19,8,masked_psnr,4,foreground,3.323374715293954,paired gaps averaged within identity across seeds
2.3054162199246764,1.3171714302987252,adaptive,384,19,8,masked_psnr,4,full_frame,1.8134064074483043,paired gaps averaged within identity across seeds
2.751016449478632,1.8623651268872288,released,384,19,8,masked_psnr,4,full_frame,2.3185902592683267,paired gaps averaged within identity across seeds
0.48030366566426724,-0.10658619596030874,adaptive,384,19,8,masked_psnr,4,oral,0.17830234746647938,paired gaps averaged within identity across seeds
0.3486925003385338,-0.2568839127602784,released,384,19,8,masked_psnr,4,oral,0.01298531672693876,paired gaps averaged within identity across seeds
0.2902664357567401,-3.388564638435631,adaptive,384,19,8,masked_psnr,8,background,-1.5291600419716196,paired gaps averaged within identity across seeds
0.14077580245313998,-4.616482481826657,released,384,19,8,masked_psnr,8,background,-2.0866973991421567,paired gaps averaged within identity across seeds
1.19442844910269,-0.002212770824478801,adaptive,384,19,8,masked_psnr,8,eyes,0.5475206898816382,paired gaps averaged within identity across seeds
1.128997099996862,-0.007106977423562662,released,384,19,8,masked_psnr,8,eyes,0.550954748567413,paired gaps averaged within identity across seeds
2.5092482211227845,1.2068935391798479,adaptive,384,19,8,masked_psnr,8,flame_supported,1.8132126775926682,paired gaps averaged within identity across seeds
2.379000217404029,1.2278120681138935,released,384,19,8,masked_psnr,8,flame_supported,1.8038695570099328,paired gaps averaged within identity across seeds
4.261738485406702,2.3147753753790488,adaptive,384,19,8,masked_psnr,8,flame_unsupported,3.300523242295355,paired gaps averaged within identity across seeds
5.032437276642196,2.9605171078890167,released,384,19,8,masked_psnr,8,flame_unsupported,4.011437385236446,paired gaps averaged within identity across seeds
3.517847962774727,2.154406379311037,adaptive,384,19,8,masked_psnr,8,foreground,2.855263798121126,paired gaps averaged within identity across seeds
4.095507669394492,2.5526255510223956,released,384,19,8,masked_psnr,8,foreground,3.3486560439088975,paired gaps averaged within identity across seeds
2.4143681131474573,1.340323612865278,adaptive,384,19,8,masked_psnr,8,full_frame,1.8736808572044181,paired gaps averaged within identity across seeds
2.7170154622207225,1.7565603219645718,released,384,19,8,masked_psnr,8,full_frame,2.2273459551301484,paired gaps averaged within identity across seeds
0.38661509977556974,-0.1853797422457561,adaptive,384,19,8,masked_psnr,8,oral,0.09346123390986125,paired gaps averaged within identity across seeds
0.18778582931674323,-0.40899810692931043,released,384,19,8,masked_psnr,8,oral,-0.1259047575320149,paired gaps averaged within identity across seeds
