advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,seed_aggregation,seed_count,training_seed
2.1279280261815905,2.787387520392049,1.440855715414924,released,0.95,20,masked_psnr,8,8,foreground,paired effect averaged within identity across seeds,1,0
1.108886797782731,1.9236655218694942,0.2123580522713616,adaptive,0.75,20,masked_psnr,8,8,full_frame,paired effect averaged within identity across seeds,1,0
1.3239054938826869,2.1033285197751224,0.4217778995726943,released,0.8,20,masked_psnr,8,8,full_frame,paired effect averaged within identity across seeds,1,0
-0.8603846969658806,-0.515299309175528,-1.2029862802537765,adaptive,0.15,20,masked_psnr,8,8,oral,paired effect averaged within identity across seeds,1,0
-0.8029701341139202,-0.42266568992806,-1.226734148970284,released,0.2,20,masked_psnr,8,8,oral,paired effect averaged within identity across seeds,1,0
-2.9827032754447123,-1.3846282019127456,-4.625999014119738,adaptive,0.1,20,masked_psnr,32,1,background,paired effect averaged within identity across seeds,1,0
-2.3621045978945014,-0.12194127964334817,-4.229975143505321,released,0.2,20,masked_psnr,32,1,background,paired effect averaged within identity across seeds,1,0
0.03865745788744555,0.3974093033692729,-0.23769452527894408,adaptive,0.4,20,masked_psnr,32,1,eyes,paired effect averaged within identity across seeds,1,0
-0.442299974557673,0.07263094124077167,-1.0037676004221607,released,0.35,20,masked_psnr,32,1,eyes,paired effect averaged within identity across seeds,1,0
-0.4243536797646044,0.17072106877425733,-1.0349008405982938,adaptive,0.45,20,masked_psnr,32,1,flame_supported,paired effect averaged within identity across seeds,1,0
-0.4398985445216791,0.17098974151445717,-1.0892934985764913,released,0.45,20,masked_psnr,32,1,flame_supported,paired effect averaged within identity across seeds,1,0
5.721241703799569,6.84500160300266,4.46203143656999,adaptive,0.9,20,masked_psnr,32,1,flame_unsupported,paired effect averaged within identity across seeds,1,0
6.023467429192854,7.118514088776208,4.858808766205788,released,0.95,20,masked_psnr,32,1,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.231632680474656,5.168975105946487,3.183067219253445,adaptive,0.9,20,masked_psnr,32,1,foreground,paired effect averaged within identity across seeds,1,0
4.398016512496747,5.313374352989272,3.3571421261568974,released,0.95,20,masked_psnr,32,1,foreground,paired effect averaged within identity across seeds,1,0
2.3166299292026062,3.179271742622536,1.3766073987765062,adaptive,0.85,20,masked_psnr,32,1,full_frame,paired effect averaged within identity across seeds,1,0
2.4671662912475654,3.3495536829018704,1.5264345815249065,released,0.9,20,masked_psnr,32,1,full_frame,paired effect averaged within identity across seeds,1,0
-0.9311771604178956,-0.5697121557545004,-1.2853020966185658,adaptive,0.1,20,masked_psnr,32,1,oral,paired effect averaged within identity across seeds,1,0
-0.27644098189230276,0.028260077158151816,-0.5765717205138388,released,0.35,20,masked_psnr,32,1,oral,paired effect averaged within identity across seeds,1,0
-2.584030984094503,-0.9287951039009331,-4.253244585640145,adaptive,0.2,20,masked_psnr,32,4,background,paired effect averaged within identity across seeds,1,0
-1.9240823944604621,0.5301618908368281,-3.946689516351965,released,0.25,20,masked_psnr,32,4,background,paired effect averaged within identity across seeds,1,0
0.07878925085133126,0.4694951224897209,-0.2307207939156631,adaptive,0.5,20,masked_psnr,32,4,eyes,paired effect averaged within identity across seeds,1,0
-0.49628764125939834,0.08161592981792311,-1.1067794047571209,released,0.35,20,masked_psnr,32,4,eyes,paired effect averaged within identity across seeds,1,0
-0.4950577464760821,0.17079926934471962,-1.1425954682073807,adaptive,0.35,20,masked_psnr,32,4,flame_supported,paired effect averaged within identity across seeds,1,0
-0.46183209173951134,0.21745032471563605,-1.163309867302564,released,0.4,20,masked_psnr,32,4,flame_supported,paired effect averaged within identity across seeds,1,0
5.588904577884603,6.648608117890526,4.4130642282054415,adaptive,0.95,20,masked_psnr,32,4,flame_unsupported,paired effect averaged within identity across seeds,1,0
6.104398587111012,7.0559642028702925,5.028572222016749,released,1.0,20,masked_psnr,32,4,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.195555510019461,5.10128549813192,3.189958126739684,adaptive,0.9,20,masked_psnr,32,4,foreground,paired effect averaged within identity across seeds,1,0
4.5472010905495335,5.431939237453513,3.568450822143795,released,0.95,20,masked_psnr,32,4,foreground,paired effect averaged within identity across seeds,1,0
2.442887261108445,3.236177410546579,1.624806630853451,adaptive,0.85,20,masked_psnr,32,4,full_frame,paired effect averaged within identity across seeds,1,0
2.670299765577024,3.5299516970031357,1.7985102748684478,released,0.85,20,masked_psnr,32,4,full_frame,paired effect averaged within identity across seeds,1,0
-1.353982346879128,-0.9633008226629012,-1.771258942209496,adaptive,0.05,20,masked_psnr,32,4,oral,paired effect averaged within identity across seeds,1,0
-0.6292407312199757,-0.3041959626503795,-0.9579492705630044,released,0.25,20,masked_psnr,32,4,oral,paired effect averaged within identity across seeds,1,0
-2.315082617824364,-0.3704580274631345,-4.048308182570768,adaptive,0.2,20,masked_psnr,32,8,background,paired effect averaged within identity across seeds,1,0
-1.9603803774941784,0.22012312727906352,-3.87015639155873,released,0.25,20,masked_psnr,32,8,background,paired effect averaged within identity across seeds,1,0
0.21538344949648333,0.5401334701708679,-0.05801107740684778,adaptive,0.65,20,masked_psnr,32,8,eyes,paired effect averaged within identity across seeds,1,0
-0.3123589333305771,0.23348303267963705,-0.9106589567070941,released,0.35,20,masked_psnr,32,8,eyes,paired effect averaged within identity across seeds,1,0
-0.4815947199993825,0.1463521061883515,-1.1117238898052622,adaptive,0.4,20,masked_psnr,32,8,flame_supported,paired effect averaged within identity across seeds,1,0
-0.49248474127703074,0.19859104835204783,-1.1816106785759322,released,0.35,20,masked_psnr,32,8,flame_supported,paired effect averaged within identity across seeds,1,0
5.662068675636808,6.684214912808883,4.568806246708513,adaptive,0.95,20,masked_psnr,32,8,flame_unsupported,paired effect averaged within identity across seeds,1,0
6.117977436782626,7.046322336220586,5.099360791277674,released,1.0,20,masked_psnr,32,8,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.3029272202485185,5.174326938088339,3.3594777861910514,adaptive,0.9,20,masked_psnr,32,8,foreground,paired effect averaged within identity across seeds,1,0
4.619300553411767,5.500068814718819,3.624080599494957,released,0.95,20,masked_psnr,32,8,foreground,paired effect averaged within identity across seeds,1,0
2.531356397091334,3.348533409814598,1.7179796923557886,adaptive,0.85,20,masked_psnr,32,8,full_frame,paired effect averaged within identity across seeds,1,0
2.712719116382768,3.5726942578718526,1.8148588237153636,released,0.8,20,masked_psnr,32,8,full_frame,paired effect averaged within identity across seeds,1,0
-1.3481552010691042,-0.9194456491502537,-1.823255631956396,adaptive,0.05,20,masked_psnr,32,8,oral,paired effect averaged within identity across seeds,1,0
-0.5960140939202516,-0.3020850941281085,-0.8813729017965449,released,0.25,20,masked_psnr,32,8,oral,paired effect averaged within identity across seeds,1,0
-2.0614046502364394,-1.253066180017313,-2.8477247486058745,adaptive,0.1,20,masked_psnr,128,1,background,paired effect averaged within identity across seeds,1,0
-1.611898952726369,-0.43324981868536216,-2.74150901622343,released,0.25,20,masked_psnr,128,1,background,paired effect averaged within identity across seeds,1,0
0.12220619393053855,0.5409327852750434,-0.2707407263010011,adaptive,0.5,20,masked_psnr,128,1,eyes,paired effect averaged within identity across seeds,1,0
-0.13186716727647402,0.2664915110647341,-0.5271667047119329,released,0.55,20,masked_psnr,128,1,eyes,paired effect averaged within identity across seeds,1,0
0.17356734494704334,0.6912037531701709,-0.32420157885158646,adaptive,0.45,20,masked_psnr,128,1,flame_supported,paired effect averaged within identity across seeds,1,0
0.11247767912780056,0.6017122898373857,-0.38116934053117835,released,0.5,20,masked_psnr,128,1,flame_supported,paired effect averaged within identity across seeds,1,0
5.894050454845093,7.195490777530189,4.571614208896601,adaptive,1.0,20,masked_psnr,128,1,flame_unsupported,paired effect averaged within identity across seeds,1,0
6.299662703117875,7.615219736134712,4.98600120053245,released,1.0,20,masked_psnr,128,1,flame_unsupported,paired effect averaged within identity across seeds,1,0
4.494724372787403,5.52909054411337,3.407360998594944,adaptive,1.0,20,masked_psnr,128,1,foreground,paired effect averaged within identity across seeds,1,0
4.780662410435629,5.80304545378182,3.6975078468780187,released,1.0,20,masked_psnr,128,1,foreground,paired effect averaged within identity across seeds,1,0
2.9122100222324585,3.653125861781164,2.139222444800851,adaptive,0.9,20,masked_psnr,128,1,full_frame,paired effect averaged within identity across seeds,1,0
3.1850611770942754,3.871140151434152,2.4420235439357185,released,1.0,20,masked_psnr,128,1,full_frame,paired effect averaged within identity across seeds,1,0
-0.5245104035414041,-0.21249493637332154,-0.8482043992764373,adaptive,0.3,20,masked_psnr,128,1,oral,paired effect averaged within identity across seeds,1,0
-0.18103516259000987,0.08224056054657997,-0.4290215304802542,released,0.35,20,masked_psnr,128,1,oral,paired effect averaged within identity across seeds,1,0
-2.5706697730820274,-1.4328974085821067,-3.704923952670615,adaptive,0.05,20,masked_psnr,128,4,background,paired effect averaged within identity across seeds,1,0
-2.0209640133565094,-0.1124918557767882,-3.5342967474791798,released,0.15,20,masked_psnr,128,4,background,paired effect averaged within identity across seeds,1,0
0.20448379640869857,0.6816110556318585,-0.23574615716985534,adaptive,0.6,20,masked_psnr,128,4,eyes,paired effect averaged within identity across seeds,1,0
0.027853634523579095,0.3654592604739649,-0.3152505264824651,released,0.45,20,masked_psnr,128,4,eyes,paired effect averaged within identity across seeds,1,0
0.025236331827808732,0.5770385650743572,-0.5016714003595403,adaptive,0.45,20,masked_psnr,128,4,flame_supported,paired effect averaged within identity across seeds,1,0
0.05746051318937369,0.5763331331931956,-0.4259642454498197,released,0.4,20,masked_psnr,128,4,flame_supported,paired effect averaged within identity across seeds,1,0
5.941365587938572,7.268970124464392,4.639524728186115,adaptive,1.0,20,masked_psnr,128,4,flame_unsupported,paired effect averaged within identity across seeds,1,0
