alpha_iou,alpha_mae,camera_count,lpips_alex_spatial,masked_mae,masked_mse,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,ssim,subject
0.8641465983165645,0.10328633497868266,14,0.2904504862698642,0.10632886824669774,0.04746445045842752,13.28845695731403,adaptive,128,1,11264.0,full_frame,0,0.49419637450150083,017
0.9670666201594785,0.03846002942217248,14,0.3670444285755283,0.10386505287600227,0.027062375064288016,15.761112653123519,adaptive,128,1,6250.357142857143,foreground,0,,017
0.9821252438522906,0.019640923078571047,14,0.3490247077467511,0.0945201278973788,0.02014495382206132,17.003857726654932,adaptive,128,1,4596.5,flame_supported,0,,017
0.9228453741129438,0.01881910641012447,14,0.4131833689538569,0.1280627296067786,0.046693645495918853,13.67403470622103,adaptive,128,1,1653.857142857143,flame_unsupported,0,,017
0.9904707769641894,0.0002273246447137873,14,0.3022070894475487,0.08342273360125661,0.013083176674195294,19.19374835075634,adaptive,128,1,257.92857142857144,oral,0,,017
0.9990601503759399,1.808124488889007e-05,14,0.17057218106194322,0.07371965388137869,0.009610753500945719,20.584620650807572,adaptive,128,1,87.21428571428571,eyes,0,,017
0.0,0.06482630568955626,14,0.1947888515986082,0.10789718344063857,0.07154547072397165,11.510701596374814,adaptive,128,1,5013.642857142857,background,0,,017
0.8706729266781061,0.09901970421726053,11,0.2821108900811061,0.10133108554136,0.0457720533218594,13.432830261281623,adaptive,128,4,11264.0,full_frame,0,0.4973122369159352,017
0.9626027430111666,0.04092468592253598,11,0.3511038288362135,0.10128771790239566,0.02857794978263301,15.505938532083876,adaptive,128,4,6345.818181818182,foreground,0,,017
0.9825558568939798,0.01980337898500941,11,0.33372082095431366,0.08687219239508129,0.01819306661355737,17.43114636744159,adaptive,128,4,4656.272727272727,flame_supported,0,,017
0.9034592422705541,0.02112130769951777,11,0.39343814542913136,0.14139250230773473,0.05830298567524304,12.653297120504796,adaptive,128,4,1689.5454545454545,flame_unsupported,0,,017
0.9870259798866751,0.00031342251383069777,11,0.265960440477245,0.08648099398316234,0.014269773772561622,18.715401049938013,adaptive,128,4,254.45454545454547,oral,0,,017
0.9988038277511961,2.1303717031431997e-05,11,0.1684857244746911,0.07124311933460405,0.009206058310579789,20.798825816118235,adaptive,128,4,86.45454545454545,eyes,0,,017
0.0,0.05809501998803832,11,0.19149431187225507,0.10056182219949115,0.06703940266539411,11.78175624613142,adaptive,128,4,4918.181818181818,background,0,,017
0.8722536764347749,0.09670745794262205,7,0.2635784087243018,0.10036810032733076,0.04676174549829393,13.336565090339548,adaptive,128,8,11264.0,full_frame,0,0.5057702745710101,017
0.9638464849600509,0.03923913623605456,7,0.33458548842429814,0.09868499280365452,0.027502065253210837,15.682420221913974,adaptive,128,8,6273.714285714285,foreground,0,,017
0.9826409606860261,0.01912258498902832,7,0.31508681092804086,0.08513168632079574,0.01784109454546023,17.50176948276704,adaptive,128,8,4579.428571428572,flame_supported,0,,017
0.9088338260343322,0.020116549650473253,7,0.3808742819693941,0.13583249267432232,0.054873208022090045,12.948442084288791,adaptive,128,8,1694.2857142857142,flame_unsupported,0,,017
0.9925693425455346,0.0001983663106719697,7,0.2613331901162298,0.08643175609156238,0.014227395854801973,18.68735440099061,adaptive,128,8,249.85714285714286,oral,0,,017
0.9981203007518796,2.8676736552110276e-05,7,0.16074388521115196,0.07492719820002858,0.010299008463178248,20.28446885703291,adaptive,128,8,84.71428571428571,eyes,0,,017
0.0,0.05746832436748913,7,0.17367352735163502,0.10171953522604889,0.07006654299495597,11.58363311908953,adaptive,128,8,4990.285714285715,background,0,,017
0.7706215380184004,0.116513620529856,14,0.2324676544635327,0.07325949606957373,0.023180869879660667,16.382699664141864,adaptive,128,1,11264.0,full_frame,0,0.6276638720716748,060
0.8653205849772212,0.07122661891792502,14,0.2611438717450993,0.11156959679429798,0.031035790569397183,15.117892601561143,adaptive,128,1,5045.285714285715,foreground,0,,060
0.9745112787178342,0.016980314627289772,14,0.24130419036907044,0.0768409595720299,0.0133341519719306,18.85462610251809,adaptive,128,1,4009.0,flame_supported,0,,060
0.3591394758349478,0.0542463042241122,14,0.3217060798495815,0.28177717940356856,0.12570171674570071,9.410376439812582,adaptive,128,1,1036.2857142857142,flame_unsupported,0,,060
0.9899169019981283,9.976734548087864e-05,14,0.19192344278197013,0.07898459297873243,0.01256130519393427,19.064603373931764,adaptive,128,1,129.85714285714286,oral,0,,060
1.0,1.0406729480954319e-05,14,0.18622153487760737,0.05866686704090289,0.005764663350782262,22.542984278943205,adaptive,128,1,85.78571428571429,eyes,0,,060
0.0,0.045287001744977066,14,0.20228349641232943,0.038101972561371024,0.015616173219290938,18.48768084357109,adaptive,128,1,6218.714285714285,background,0,,060
0.7723366032134428,0.12037062238563191,11,0.2311167342603699,0.0732734006298475,0.02305046963626032,16.418413372613124,adaptive,128,4,11264.0,full_frame,0,0.619874195619063,060
0.862324279554619,0.07528551007536324,11,0.25962431680872805,0.10796742347569264,0.029015610157129442,15.43104100996081,adaptive,128,4,5223.090909090909,foreground,0,,060
0.974325093387383,0.01821746617894281,11,0.23269864151349412,0.07429852140048665,0.012801575996582671,18.989240780783405,adaptive,128,4,4103.545454545455,flame_supported,0,,060
0.3871549913831171,0.05706804423508319,11,0.33954888882978707,0.2616061174205754,0.11082248640481387,10.01098842430837,adaptive,128,4,1119.5454545454545,flame_unsupported,0,,060
0.9894517157099483,0.00011453523128776314,11,0.17287087166022036,0.08087767439942373,0.013301608143053235,18.80603476071904,adaptive,128,4,128.9090909090909,oral,0,,060
1.0,1.2480512809402585e-05,11,0.17772038530204518,0.060684089541515586,0.0061879467648820385,22.180683582699146,adaptive,128,4,86.36363636363636,eyes,0,,060
0.0,0.045085114680907944,11,0.19900756549992737,0.04007355077823241,0.017079655095638212,17.914087445288498,adaptive,128,4,6040.909090909091,background,0,,060
0.7652693204409589,0.12140979937144689,7,0.2204820335685433,0.07213970180197712,0.02233982705450677,16.537488723880724,adaptive,128,8,11264.0,full_frame,0,0.6249205555234637,060
0.866846751825477,0.0711925607174635,7,0.24938407361868783,0.10502368167610757,0.02769768911262514,15.634759607006147,adaptive,128,8,5106.285714285715,foreground,0,,060
0.9752257748033933,0.016855236808104173,7,0.21897870083834,0.0729547743837866,0.012306054720730781,19.114760206274077,adaptive,128,8,3994.714285714286,flame_supported,0,,060
0.4135443189833626,0.05433732590505055,7,0.34178808509338393,0.25295548098979564,0.106960386909389,10.273903366035952,adaptive,128,8,1111.5714285714287,flame_unsupported,0,,060
0.9924682337311707,9.909668428268301e-05,7,0.16970771407963886,0.08247055578911798,0.013664237276470223,18.700627617135805,adaptive,128,8,128.42857142857142,oral,0,,060
1.0,1.5225633400664915e-05,7,0.16865750595144052,0.061491698376586565,0.0064668263514705065,21.99772279208216,adaptive,128,8,86.14285714285714,eyes,0,,060
