ci_high,ci_low,comparison,high_n_id,identity_count,low_n_id,metric,n_obs,region,release_advantage_change,seed_aggregation
0.6146144384989825,-2.640067377240672,adaptive,384,20,8,masked_psnr,1,background,-1.0239404267167078,paired gaps averaged within identity across seeds
0.7592377670601838,-4.0647525139200305,released,384,20,8,masked_psnr,1,background,-1.4088772572271746,paired gaps averaged within identity across seeds
1.0411252410859502,-0.30257005321709335,adaptive,384,20,8,masked_psnr,1,eyes,0.2915978477697375,paired gaps averaged within identity across seeds
1.007794276105138,-0.27020965893122173,released,384,20,8,masked_psnr,1,eyes,0.33063832399929993,paired gaps averaged within identity across seeds
2.488870751191297,1.314738425530734,adaptive,384,20,8,masked_psnr,1,flame_supported,1.8445602131891519,paired gaps averaged within identity across seeds
2.4245044311392197,1.209860101935133,released,384,20,8,masked_psnr,1,flame_supported,1.8240619449382218,paired gaps averaged within identity across seeds
4.186404833207266,2.321452016075623,adaptive,384,20,8,masked_psnr,1,flame_unsupported,3.3118492390092484,paired gaps averaged within identity across seeds
5.2438573460381575,3.035868278893896,released,384,20,8,masked_psnr,1,flame_unsupported,4.201954934012558,paired gaps averaged within identity across seeds
3.4309770622521385,2.1357579286216763,adaptive,384,20,8,masked_psnr,1,foreground,2.813898764954374,paired gaps averaged within identity across seeds
4.188272042423467,2.5927258262135084,released,384,20,8,masked_psnr,1,foreground,3.4333828841503062,paired gaps averaged within identity across seeds
2.44830626479003,1.4887052823590237,adaptive,384,20,8,masked_psnr,1,full_frame,1.9684778706288573,paired gaps averaged within identity across seeds
2.931382979757234,2.066148783247141,released,384,20,8,masked_psnr,1,full_frame,2.5028836893555857,paired gaps averaged within identity across seeds
0.5237991423336146,-0.12888683163704764,adaptive,384,20,8,masked_psnr,1,oral,0.18221156584414794,paired gaps averaged within identity across seeds
0.23258893203644368,-0.30318369312281884,released,384,20,8,masked_psnr,1,oral,-0.03269536291697257,paired gaps averaged within identity across seeds
0.2713831376347871,-3.151015473812388,adaptive,384,20,8,masked_psnr,4,background,-1.4605941705645369,paired gaps averaged within identity across seeds
0.20836458668160535,-4.6079455799710365,released,384,20,8,masked_psnr,4,background,-2.0320497127381048,paired gaps averaged within identity across seeds
1.0803955386248822,-0.14964873861834035,adaptive,384,20,8,masked_psnr,4,eyes,0.41852170390374016,paired gaps averaged within identity across seeds
1.346604676175756,-0.21558422370380292,released,384,20,8,masked_psnr,4,eyes,0.537163323517884,paired gaps averaged within identity across seeds
2.311684914831011,1.1111025303318947,adaptive,384,20,8,masked_psnr,4,flame_supported,1.6583036586300004,paired gaps averaged within identity across seeds
2.379448030395117,1.2555141874019347,released,384,20,8,masked_psnr,4,flame_supported,1.8244180790258049,paired gaps averaged within identity across seeds
4.074772698964378,2.2554819713165077,adaptive,384,20,8,masked_psnr,4,flame_unsupported,3.175453704888244,paired gaps averaged within identity across seeds
4.899621126111213,2.8892337974553857,released,384,20,8,masked_psnr,4,flame_unsupported,3.9296570238728092,paired gaps averaged within identity across seeds
3.3148213359490275,2.0594071715341697,adaptive,384,20,8,masked_psnr,4,foreground,2.7024072584308385,paired gaps averaged within identity across seeds
4.005148291842015,2.5263846339946427,released,384,20,8,masked_psnr,4,foreground,3.290916388604022,paired gaps averaged within identity across seeds
2.273646154575772,1.3459015609685956,adaptive,384,20,8,masked_psnr,4,full_frame,1.8084341382893707,paired gaps averaged within identity across seeds
2.710373203855068,1.8505359681025448,released,384,20,8,masked_psnr,4,full_frame,2.283548991688524,paired gaps averaged within identity across seeds
0.5043488813891447,-0.07016141320839318,adaptive,384,20,8,masked_psnr,4,oral,0.20980210240208325,paired gaps averaged within identity across seeds
0.3822281548585295,-0.2154871887572126,released,384,20,8,masked_psnr,4,oral,0.05698776671357688,paired gaps averaged within identity across seeds
0.29314745866336034,-3.178345171257693,adaptive,384,20,8,masked_psnr,8,background,-1.4331121048307227,paired gaps averaged within identity across seeds
-0.03437761550405147,-4.518824350488566,released,384,20,8,masked_psnr,8,background,-2.1816623181667096,paired gaps averaged within identity across seeds
1.1019568121245886,-0.05755532966181747,adaptive,384,20,8,masked_psnr,8,eyes,0.4766735310426797,paired gaps averaged within identity across seeds
1.0351909960370254,-0.24860983760538716,released,384,20,8,masked_psnr,8,eyes,0.3985339703533243,paired gaps averaged within identity across seeds
2.4431174545617464,1.241451629539951,adaptive,384,20,8,masked_psnr,8,flame_supported,1.8006173234663283,paired gaps averaged within identity across seeds
2.3526828379627225,1.2280856210947184,released,384,20,8,masked_psnr,8,flame_supported,1.7965737242348383,paired gaps averaged within identity across seeds
4.2171055038253416,2.32248575787319,adaptive,384,20,8,masked_psnr,8,flame_unsupported,3.2698985434196643,paired gaps averaged within identity across seeds
4.97436232817173,2.9840644817332245,released,384,20,8,masked_psnr,8,flame_unsupported,3.9819495570239654,paired gaps averaged within identity across seeds
3.475327849218339,2.1667434102483543,adaptive,384,20,8,masked_psnr,8,foreground,2.822201668297866,paired gaps averaged within identity across seeds
4.03106828557388,2.5773981910684114,released,384,20,8,masked_psnr,8,foreground,3.3140975100594523,paired gaps averaged within identity across seeds
2.3709060068454297,1.3444570562320832,adaptive,384,20,8,masked_psnr,8,full_frame,1.8588999631748362,paired gaps averaged within identity across seeds
2.6580916888845327,1.698369125705515,released,384,20,8,masked_psnr,8,full_frame,2.1717919074618086,paired gaps averaged within identity across seeds
0.4058477608598423,-0.1448067797597977,adaptive,384,20,8,masked_psnr,8,oral,0.12773805939504151,paired gaps averaged within identity across seeds
0.23183632807354682,-0.3669661678307364,released,384,20,8,masked_psnr,8,oral,-0.08427536502257667,paired gaps averaged within identity across seeds
