radius_mm,label,steps,seed,mean_offset_mm,supported_psnr,transition_psnr,unsupported_psnr,head_psnr,supported_lp_mse,unsupported_lp_mse,pcd_to_means_supported_mean_mm,pcd_to_means_unsupported_mean_mm
0.0,0mm,600,0,0.0,27.068991428405692,22.125698967773268,12.192490687073626,16.976141906960542,0.002028015980116305,0.06754003658099125,3.906856624486399,40.87657447557495
2.0,2mm,600,0,1.9717077016830444,27.591925934526653,22.566991559895584,12.734469581272409,17.503350396917536,0.001812484768673959,0.06190575202794604,3.885923980989724,39.442603843801116
5.0,5mm,600,0,4.855979919433594,28.138196781468416,22.79460840263709,12.705832261686927,17.526309513888265,0.0016194304614148387,0.061938773238203106,4.222467826593825,37.49470428037405
10.0,10mm,600,0,9.339485168457031,28.767965106929545,23.0201173516701,13.627710238522166,18.409172788065607,0.001407458788150731,0.049897103730511407,4.762803991768787,32.836237363311376
25.0,25mm,600,0,19.080713272094727,30.440347561696687,23.96293211358793,16.46097815698765,21.02523160770746,0.0009476883233343954,0.02894328242967447,4.988152286007746,22.33483706145349
50.0,50mm,600,0,27.379371643066406,32.841463977888466,28.11248161699156,20.415073712309628,24.852445971074744,0.0005472467763720315,0.01207039046897358,5.104454903836933,11.518088298833105
100.0,100mm,600,0,33.906822204589844,34.11738888192078,30.37745894027436,25.888277188300567,29.567075427721083,0.0004112745347959934,0.002724260131216361,5.0403515169409445,9.06103158343868
200.0,200mm,600,0,36.89371109008789,34.32096236576759,31.23789738037023,27.56499339680394,30.797494908276523,0.00039521954177022453,0.001843556698995438,5.1190243196063765,8.251380306887619
-1.0,free,600,0,37.92705535888672,34.42411707335089,30.853825328861394,27.60787989901792,30.80989161171857,0.0003868425710159102,0.0018319671990381292,5.138277049213923,8.451002544826665
