directory,radius_mm,oral_protrusion_psnr,oral_protrusion_mae,oral_train_psnr,oral_heldout_psnr,supported_psnr,unsupported_psnr,unsupported_train_psnr,unsupported_heldout_psnr,head_psnr,unsupported_geometry_mm,mean_offset_mm
hard,0.0,31.25560053798742,0.023289559283807507,33.07746434142155,25.790009127685003,23.12663969076764,11.736991758692199,11.633627573877426,12.047084313136512,14.19582123036701,44.96509678218222,0.0
r010,10.0,33.01731729494194,0.019916733703899438,34.87356618263446,27.448570631864367,29.38121227462886,14.312781232082752,14.23083666622563,14.558614929654123,16.804769528194008,39.63566808326389,9.793279647827148
r025,25.0,33.80168910133467,0.019078722917725978,36.08903178427129,26.939661052524794,32.999944538870466,19.38690947748053,19.328601158630445,19.561834434030775,21.73587207566167,31.928109391509768,21.324583053588867
r050,50.0,33.62436002437775,0.01924997771747918,35.73501694391936,27.292389265752934,35.03745970609408,28.53705529272584,29.097267412608314,26.856418933078416,30.10185220259954,22.33469455938632,32.76001739501953
r075,75.0,33.850706549701385,0.01917946155915802,36.06769549122907,27.199739725118377,35.35259087053308,32.71019622705393,34.33465897307807,27.836807988981487,33.475257565818254,18.267974630593397,39.055908203125
r100,100.0,33.93258129025058,0.018910364725072494,36.13022224113052,27.339658437610765,35.554228885454194,34.07441177400077,36.12898712815592,27.91068571153533,34.42293722164992,17.34800165044044,43.01557159423828
r150,150.0,33.47361906054475,0.020014059191259495,35.82350097698384,26.423973311227506,35.76993329090392,35.165061628424255,37.44929522650957,28.312360834168267,35.264584979914034,16.411189337178953,47.46488571166992
r200,200.0,33.69058936017042,0.01953469628106656,35.970429927015694,26.85106765963461,35.59785298020621,35.02174556268344,37.194024114276466,28.50490990790439,35.05122657097884,17.17934681769331,49.36048126220703
free,-1.0,33.7156217326215,0.019885732976842083,36.0573078258932,26.690563452806416,35.76643530676077,35.47143390876252,37.727576539563394,28.703006016359915,35.41118877379728,17.580376783878613,51.543155670166016
