subject,sequence,stress_region,condition,mean_constraint,scale_cap_mm,supported_psnr,unsupported_psnr,head_psnr,unsupported_center_error_mm,axis_max_p50_mm,axis_max_p90_mm,axis_max_p99_mm,axis_fraction_at_cap,final_loss
388,GLASSES,glasses_hair_beard,hard_cap003,hard,3.0,18.959141352187718,4.475250071304611,10.470055606046428,27.457490051433012,3.0,3.0,3.0,0.973720883933904,0.22624942660331726
388,GLASSES,glasses_hair_beard,hard_cap030,hard,30.0,28.610590662137465,16.124476919719676,22.125271445673988,27.457490051433012,5.295670032501221,13.16789722442627,30.0,0.014732231734023491,0.04071306064724922
388,GLASSES,glasses_hair_beard,free_cap003,free,3.0,32.75318631362921,19.613956325889834,25.72467786848837,7.388610219127022,3.0,3.0,3.0,0.9864622735417081,0.025275232270359993
388,GLASSES,glasses_hair_beard,free_cap030,free,30.0,37.271891803749256,30.904281029677943,34.75275092760246,10.381520790707505,4.425567626953125,11.470741653442385,20.72930892944327,0.0057734421660362335,0.0109140295535326
422,EXP-2-eyes,eyes,hard_cap003,hard,3.0,18.088877870216077,4.056300180872007,8.627110292602392,41.169468875020065,3.0,3.0,3.0,0.9749153892096357,0.3285793662071228
422,EXP-2-eyes,eyes,hard_cap030,hard,30.0,26.86371486990735,14.153005902530948,18.611971469212225,41.169468875020065,4.968151569366455,12.03084888458252,28.79031684875487,0.009755126418475014,0.08105037361383438
422,EXP-2-eyes,eyes,free_cap003,free,3.0,31.221627532059355,20.657952874940136,24.761179889339488,8.401395148614471,3.0,3.0,3.0,0.9880549472426836,0.043471675366163254
422,EXP-2-eyes,eyes,free_cap030,free,30.0,37.13616831268212,27.504577453121815,31.364476194493747,7.537614212801873,4.105199337005615,10.793878555297852,30.0,0.010352379056340831,0.016969934105873108
443,FREE,free_motion_static_frame,hard_cap003,hard,3.0,18.86758104965585,2.9472161975446465,6.291370872014302,41.456190353872735,3.0,3.0,3.0,0.9468445152299423,0.42860475182533264
443,FREE,free_motion_static_frame,hard_cap030,hard,30.0,22.29102783323359,13.869672273373245,16.368108522098844,41.456190353872735,4.681636810302734,13.590593338012697,30.0,0.03045988453115668,0.0977010652422905
443,FREE,free_motion_static_frame,free_cap003,free,3.0,35.8479131390685,22.442586996512166,25.84137450689881,6.069495274238584,3.0,3.0,3.0,0.9611785785387219,0.029615066945552826
443,FREE,free_motion_static_frame,free_cap030,free,30.0,39.7217587221725,32.2824792190215,34.84569646482013,8.81666319262933,4.175503253936768,11.835780334472657,21.199287948608394,0.0063706948039020505,0.011442126706242561
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,hard_cap003,hard,3.0,16.437184520165598,2.4527795219422215,6.1591564004452275,36.144622726399994,3.0,3.0,3.0,0.9651602627911606,0.4253988265991211
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,hard_cap030,hard,30.0,25.875642498404506,11.428740955664004,15.128082558858356,36.144622726399994,4.981646537780762,13.302008628845217,30.0,0.02408918972725463,0.10609374195337296
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,free_cap003,free,3.0,35.07708006936056,26.38867386144131,29.397773077272838,7.578156411837261,3.0,3.0,3.0,0.9874576946048178,0.025317763909697533
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,free_cap030,free,30.0,39.43713924241648,34.77027817693645,36.60196386991191,10.25333477520509,4.6302032470703125,12.349766540527344,21.03921287536617,0.0069679474417678675,0.00894754659384489
475,HAIR,hair,hard_cap003,hard,3.0,18.203562996187856,3.4771221315144953,6.72044800716555,34.97427938826753,3.0,3.0,3.0,0.9685446944057337,0.3976229727268219
475,HAIR,hair,hard_cap030,hard,30.0,27.768319914482934,16.510427346598313,19.61549281519734,34.97427938826753,4.798338413238525,11.955894470214844,30.0,0.01970933704957197,0.06875879317522049
475,HAIR,hair,free_cap003,free,3.0,35.675701168666954,24.358749332374774,27.126067639064086,5.381218058346855,3.0,3.0,3.0,0.9550069679474418,0.026784051209688187
475,HAIR,hair,free_cap030,free,30.0,40.60628671438647,33.72509735342281,35.74898960134334,6.766873719656024,3.7524361610412598,10.691739273071294,20.132738685607837,0.0069679474417678675,0.010012607090175152
