subject,fold,condition,camera_id,region,psnr
388,fold_c,free,222200048,unsupported,26.66074963919037
388,fold_c,free,222200038,unsupported,27.75095391726978
388,fold_c,free,222200049,unsupported,26.48974115815944
388,fold_c,free,222200044,head,24.62645954901065
388,fold_c,free,222200048,head,29.44109400729438
388,fold_c,free,222200038,head,29.676113740560478
388,fold_c,free,222200049,head,27.865447415138064
422,fold_a,hard,222200042,supported,20.325884506250457
422,fold_a,hard,222200036,supported,26.376848707751847
422,fold_a,hard,222200041,supported,24.108058390193328
422,fold_a,hard,222200043,supported,23.019373094635213
422,fold_a,hard,221501007,supported,23.111968166649618
422,fold_a,hard,222200042,unsupported,15.162048965675117
422,fold_a,hard,222200036,unsupported,10.754438219950906
422,fold_a,hard,222200041,unsupported,14.86978892234548
422,fold_a,hard,222200043,unsupported,15.02178248584342
422,fold_a,hard,221501007,unsupported,12.715131291431984
422,fold_a,hard,222200042,head,18.323108580639595
422,fold_a,hard,222200036,head,15.345928206184734
422,fold_a,hard,222200041,head,18.650790229739663
422,fold_a,hard,222200043,head,18.640486811852632
422,fold_a,hard,221501007,head,17.3712256992386
422,fold_a,r075,222200042,supported,26.314599374648566
422,fold_a,r075,222200036,supported,31.726943178925655
422,fold_a,r075,222200041,supported,32.33180714762342
422,fold_a,r075,222200043,supported,30.307976876343602
422,fold_a,r075,221501007,supported,27.974081516401668
422,fold_a,r075,222200042,unsupported,18.779836882188953
422,fold_a,r075,222200036,unsupported,23.784808089286464
422,fold_a,r075,222200041,unsupported,22.71193739503925
422,fold_a,r075,222200043,unsupported,23.779810981510714
422,fold_a,r075,221501007,unsupported,23.24309191342173
422,fold_a,r075,222200042,head,22.93126294260179
422,fold_a,r075,222200036,head,27.117876910239076
422,fold_a,r075,222200041,head,26.437790665591052
422,fold_a,r075,222200043,head,26.736059982072984
422,fold_a,r075,221501007,head,25.33435156249924
422,fold_a,free,222200042,supported,26.328367918257335
422,fold_a,free,222200036,supported,29.95579476022155
422,fold_a,free,222200041,supported,32.30084747939206
422,fold_a,free,222200043,supported,30.788928405952305
422,fold_a,free,221501007,supported,28.28080380562884
422,fold_a,free,222200042,unsupported,18.893376380789384
422,fold_a,free,222200036,unsupported,25.37234750035353
422,fold_a,free,222200041,unsupported,24.967870685354647
422,fold_a,free,222200043,unsupported,25.263986610131024
422,fold_a,free,221501007,unsupported,23.942109388167154
422,fold_a,free,222200042,head,22.945455152176702
422,fold_a,free,222200036,head,27.64159319449112
422,fold_a,free,222200041,head,28.018213031117437
