condition,supported_heldout_psnr,unsupported_heldout_psnr,head_heldout_psnr,supported_generalization_gap_db,unsupported_generalization_gap_db,head_generalization_gap_db
hard,22.758817379014637,13.817709118252193,17.269414503692737,4.117703507893952,0.6060112841073444,1.20753147900044
r075,29.85903786425515,25.056866246589113,27.16144644557742,9.445428483058077,4.395326061414866,5.871985596695396
free,29.729502751588143,25.509106630660597,27.318901592360305,10.19269106001988,6.5856041136955055,7.816862596858101
